"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"TDRP",0,27,0,0,0,11,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,1,4,11,1
"ERICH1",64,163,4,2,2,30,1,2,20,2,29,6,0,2,4,1,0,23,0,22,3,34,374,68,15
"ERICH1-AS1",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"CLN8",114,81,0,5,2,5,0,0,5,2,5,0,0,0,1,1,0,14,0,16,2,8,152,37,2
"CTD-2336O2.3",2,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
"CTD-2336O2.1",71,179,1,2,0,21,0,0,8,3,4,3,0,2,2,1,1,4,1,22,2,27,178,20,4
"ARHGEF10",4,90,0,0,2,10,0,0,4,0,0,0,1,0,0,0,0,8,0,1,0,4,116,34,4
"KBTBD11-OT1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
"KBTBD11",2,5,0,0,0,1,0,0,8,0,1,0,0,0,0,0,0,0,0,3,0,0,121,6,0
"RP11-439C15.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"MYOM2",4,17,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,2,73,9,2
"RP11-134O21.1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-115C21.2",5,27,0,0,0,4,0,0,0,0,3,0,0,0,1,0,0,7,0,2,1,3,64,0,2
"MCPH1",12,38,0,0,0,7,0,0,2,1,4,0,0,2,1,1,0,5,0,1,2,5,87,8,3
"ANGPT2",3,16,0,0,0,1,0,0,10,0,1,0,0,0,0,0,0,165,0,0,0,0,34,339,29
"CTD-2541M15.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCPH1-AS1",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0
"AGPAT5",17,40,0,1,0,6,1,0,5,0,2,0,0,1,2,0,0,10,0,2,0,0,263,15,4
"DEFB1",34,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,15,0,0,177,1,0
"DEFA6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"DEFA5",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
"FAM66B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FAM85B",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"SGK223",31,20,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,3,0,2,0,3,135,11,0
"CTA-398F10.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLDN23",18,56,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,335,7,0
"MFHAS1",24,69,0,0,1,8,0,4,3,0,7,0,0,7,0,0,1,6,0,5,2,15,176,12,6
"ERI1",28,34,0,0,0,3,0,0,2,1,5,0,0,1,1,0,0,5,0,11,2,19,94,7,1
"PPP1R3B",31,46,0,0,0,2,0,0,0,4,2,0,0,0,0,0,1,8,0,11,0,3,73,27,4
"RP11-10A14.3",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0
"RP11-10A14.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
"RP11-10A14.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
"RP11-115J16.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-375N15.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"TNKS",11,59,0,0,1,4,0,0,1,0,3,1,0,0,0,0,1,9,2,5,0,4,118,14,2
"RP11-1E4.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"MSRA",77,81,0,3,0,11,0,1,4,6,4,1,0,3,2,0,0,13,1,15,2,9,241,40,4
"PRSS51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-981G7.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"PRSS55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RP1L1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0
"SOX7",0,1,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,2,45,0
"PINX1",14,54,0,0,0,4,0,0,1,1,5,2,0,1,5,0,0,7,0,4,1,10,141,19,3
"XKR6",2,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,13,2,1
"AF131215.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AF131216.1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"MTMR9",22,85,1,1,1,9,0,0,1,1,11,1,0,1,4,0,0,19,1,6,2,13,128,22,3
"AF131216.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SLC35G5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0
"FAM167A",0,32,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,41,0,0
"BLK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"GATA4",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
"C8orf49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"NEIL2",8,85,0,1,0,9,1,0,1,0,1,1,1,0,2,0,0,3,0,2,2,4,52,8,8
"FDFT1",62,221,2,6,1,33,0,12,6,3,33,5,4,2,4,1,9,34,1,19,5,51,2694,43,22
"RP11-297N6.4",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,27,1,0
"CTSB",7340,4110,1,38,6,184,1,10,24,9,42,4,10,2,2,1,13,129,12,641,9,70,2212,286,50
"FAM66D",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM86B1",4,14,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,69,0,0
"AC145124.2",2,14,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,12,2,1
"FAM66A",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-351I21.11",0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FAM86B2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"RP11-419I17.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"LONRF1",9,31,0,2,1,6,0,0,1,0,0,0,1,0,0,0,0,7,0,0,0,2,29,10,6
"KIAA1456",0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,12,1,0
"DLC1",10,166,0,0,2,29,0,1,3,3,0,0,1,0,0,0,0,71,0,1,1,1,9,73,21
"C8orf48",0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"TUSC3",1,293,0,0,1,57,0,1,1,0,0,0,2,0,0,0,0,51,0,1,0,0,12,50,10
"MSR1",562,6,0,5,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,26,0,0,19,2,0
"FGF20",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"MICU3",3,37,0,0,0,6,0,0,1,1,2,0,0,1,0,0,0,9,0,0,0,0,1,7,9
"RP11-468H14.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZDHHC2",47,23,0,1,0,6,0,0,0,0,1,0,1,0,0,0,0,6,0,7,0,4,50,12,1
"CNOT7",109,180,1,9,5,23,0,5,14,9,19,4,1,3,3,1,2,31,2,22,4,37,582,74,20
"VPS37A",42,123,1,0,0,9,0,1,8,1,8,1,0,1,5,0,1,24,0,10,0,22,200,30,15
"MTMR7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC7A2",3,35,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,78,2,26
"PDGFRL",1,258,0,0,0,110,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9,5,2
"MTUS1",9,68,0,0,0,32,0,0,26,0,3,0,0,2,0,0,0,26,3,3,0,1,303,243,19
"RP11-156K13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"FGL1",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-156K13.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"PCM1",79,181,2,4,10,30,1,3,8,4,25,4,2,4,4,0,0,33,4,12,2,41,399,60,31
"ASAH1",1226,517,0,14,5,70,0,1,4,15,12,5,4,4,4,0,14,107,7,175,1,26,1115,50,22
"CTD-2547L16.1",1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0
"NAT1",7,19,0,1,0,3,0,0,0,1,4,0,0,0,1,0,1,2,0,2,1,3,137,6,1
"NAT2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0
"PSD3",36,160,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,6,0,3,1,1,105,3,2
"RP11-161I2.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SH2D4A",4,47,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,2,0,1,0,2,400,2,1
"CSGALNACT1",6,141,0,0,0,3,0,1,3,0,5,0,0,1,0,0,0,13,0,6,1,8,5,73,0
"INTS10",69,182,0,3,2,15,0,3,4,2,10,0,2,1,1,0,0,14,3,9,4,22,482,45,19
"LPL",183,24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,1,2,0,0
"SLC18A1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATP6V1B2",449,167,3,5,1,25,1,1,4,0,6,2,0,1,2,0,0,13,1,97,2,17,298,17,7
"LZTS1",1,20,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,28,0,0,0,0,2,0,1
"RP11-369E15.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GFRA2",16,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DOK2",224,12,3,8,0,6,3,7,0,2,37,8,0,6,9,2,0,2,0,58,10,116,13,2,0
"XPO7",31,50,0,0,0,8,0,1,0,2,3,1,0,2,0,0,0,5,0,2,0,6,108,15,1
"NPM2",12,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,74,0,0
"FGF17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DMTN",3,10,0,1,0,0,0,0,26,0,2,0,0,0,0,0,0,0,0,1,0,5,219,16,1
"FAM160B2",17,56,0,0,0,7,1,0,2,1,4,0,0,0,1,0,0,9,0,3,0,4,110,20,3
"NUDT18",27,91,0,1,1,7,0,0,2,0,7,1,0,2,1,0,0,2,0,4,1,8,104,11,1
"HR",3,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,146,1,2
"REEP4",49,52,1,4,0,7,0,2,0,1,6,0,0,2,1,0,1,7,1,8,0,3,334,12,2
"BMP1",7,365,0,0,0,27,0,0,2,0,1,0,0,0,1,0,0,52,0,1,0,2,83,49,6
"PHYHIP",0,11,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,8,4,12
"POLR3D",12,148,0,1,1,7,1,0,0,0,5,1,0,1,0,0,1,17,0,2,1,4,172,31,3
"PIWIL2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
"SLC39A14",6,228,0,0,1,14,0,0,6,0,1,0,0,0,0,0,0,4,1,5,0,4,545,27,0
"PPP3CC",24,75,2,3,0,7,2,2,5,1,10,2,0,0,2,0,0,19,0,4,1,15,64,35,10
"RP11-582J16.4",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1
"SORBS3",44,271,0,0,0,28,1,0,0,0,5,0,1,0,0,0,0,82,0,3,1,1,179,57,41
"PDLIM2",66,1280,0,2,4,97,1,9,7,5,27,6,1,4,5,0,0,170,0,22,5,52,550,120,32
"C8orf58",4,45,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,9,0,1,0,7,26,15,1
"CCAR2",17,52,0,0,0,7,2,0,3,0,3,1,0,0,0,1,0,4,1,5,2,3,193,18,1
"RP11-582J16.5",0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,1,0
"BIN3",28,100,0,1,0,8,0,1,1,1,6,1,0,0,2,0,0,5,2,6,1,15,194,14,10
"EGR3",8,82,0,0,0,65,0,0,0,0,0,0,0,1,0,0,0,5,0,6,0,4,27,7,1
"PEBP4",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-875O11.1",1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,3,0,1
"RHOBTB2",11,20,0,0,0,3,0,0,0,0,0,0,3,0,1,0,0,1,0,2,0,0,35,9,5
"TNFRSF10B",23,91,1,2,0,10,1,0,3,0,4,2,0,0,0,0,0,6,0,11,1,1,340,52,0
"TNFRSF10C",4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,26,6,0
"TNFRSF10D",2,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,7,0,4,78,28,0
"TNFRSF10A",9,1,0,0,0,1,1,0,1,1,2,0,1,2,0,0,0,0,0,2,0,4,224,18,0
"RP11-1149O23.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"CHMP7",15,95,1,0,1,12,0,0,5,0,14,2,0,6,2,1,0,13,0,6,2,29,170,19,5
"R3HCC1",26,183,1,0,2,11,0,1,3,2,13,3,2,1,1,0,0,23,1,6,3,24,217,26,17
"LOXL2",6,1292,0,0,2,13,0,0,0,0,2,0,0,0,0,0,1,139,0,0,0,3,32,124,2
"ENTPD4",26,88,2,0,1,10,1,1,0,0,6,2,0,2,2,1,0,8,2,8,1,8,175,12,2
"SLC25A37",61,329,0,3,1,36,0,1,5,0,4,0,2,1,2,0,1,17,2,140,0,10,480,60,3
"NKX3-1",0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0
"STC1",2,406,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,2,0,2,0,0,6,127,0
"ADAM28",78,15,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,14,0,0,107,2,0
"RP11-624C23.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ADAMDEC1",76,422,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0
"GS1-72M22.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"NEFM",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"NEFL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"CTD-2168K21.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DOCK5",45,45,0,4,2,0,0,0,7,0,1,1,0,0,4,0,0,5,0,14,1,1,329,2,4
"GNRH1",0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,12,0,1
"KCTD9",12,69,0,1,3,7,1,0,1,1,5,0,1,0,1,0,3,17,0,11,2,3,186,11,7
"CDCA2",2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,39,1,0
"EBF2",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,13,0,5
"PPP2R2A",64,180,1,2,1,16,2,1,3,2,15,1,0,3,3,2,2,13,1,26,6,21,708,75,20
"BNIP3L",421,903,3,9,2,107,2,3,14,7,23,2,3,7,5,2,2,63,3,167,2,34,978,81,24
"PNMA2",1,27,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,68,0,1
"DPYSL2",223,257,0,10,2,57,0,0,15,1,5,0,3,1,5,0,1,49,0,43,1,22,614,161,23
"ADRA1A",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STMN4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"TRIM35",6,32,1,1,0,2,1,0,0,1,3,1,1,1,0,0,0,1,1,0,0,5,37,6,3
"PTK2B",68,20,1,3,0,2,3,5,0,3,9,0,0,1,5,1,0,5,0,38,4,16,166,3,1
"EPHX2",1,32,0,0,1,13,0,0,1,0,2,1,0,1,1,0,2,1,0,3,0,11,304,7,4
"CLU",28,393,0,0,240,263,0,0,78,108,13,2,22,1,1,1,7,9,2,24,4,6,724,176,35
"SCARA3",1,22,0,0,2,13,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0
"CCDC25",60,262,0,4,3,27,0,4,9,5,11,5,1,1,3,2,1,25,0,15,4,27,592,65,8
"RP11-16P20.3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESCO2",1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,34,0,0
"PBK",3,10,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,3,0,0,3,4,197,6,0
"SCARA5",0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NUGGC",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ELP3",13,48,0,0,1,5,0,1,2,2,4,2,0,0,1,0,0,1,0,4,1,5,171,13,2
"PNOC",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0
"ZNF395",9,57,0,0,1,3,0,0,1,0,1,0,1,0,1,0,1,2,0,2,0,1,115,9,4
"FBXO16",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,28,1,0
"FZD3",3,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,53,0,5
"EXTL3",9,34,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,9,0,3,0,1,65,29,3
"EXTL3-AS1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
"INTS9",13,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,44,10,1
"HMBOX1",13,48,2,0,2,7,1,0,4,1,0,0,0,0,1,1,0,7,1,3,0,8,89,23,2
"CTD-2647L4.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"KIF13B",32,61,0,0,1,4,2,0,1,2,3,0,1,1,1,1,0,0,0,3,1,9,237,15,1
"DUSP4",86,45,6,1,1,11,2,3,0,7,31,8,0,1,9,0,0,1,0,18,32,378,578,10,0
"RP11-486M23.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"LINC00589",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0
"AC145110.1",6,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,34,3,0,0
"RP11-94H18.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"SARAF",632,1440,14,44,15,155,14,30,42,27,303,48,10,102,51,18,5,148,21,118,38,423,1653,182,65
"RP11-489E7.4",2,5,1,0,0,0,2,0,0,0,2,1,0,0,4,2,0,1,0,0,0,5,4,0,0
"LEPROTL1",153,350,6,10,4,32,11,10,5,7,102,31,1,37,17,7,2,37,2,37,14,137,649,65,8
"RP11-51J9.5",27,22,1,0,1,0,0,2,2,0,30,1,0,7,9,0,3,4,0,2,3,25,86,13,2
"DCTN6",91,362,2,7,6,42,2,3,10,0,14,2,2,5,5,0,2,40,1,26,2,24,534,60,22
"RP11-51J9.6",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"RBPMS-AS1",0,10,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54,1,0
"RBPMS",9,318,0,0,1,37,0,0,19,1,0,0,9,0,0,0,0,112,0,1,0,2,336,137,87
"GTF2E2",42,157,1,3,2,17,1,0,1,0,21,3,0,2,4,0,1,21,1,7,1,13,394,43,9
"GSR",27,49,0,0,0,3,0,0,1,1,2,0,0,0,1,0,3,2,0,6,2,9,230,7,0
"UBXN8",18,52,0,0,2,15,0,2,2,1,0,1,0,0,0,0,0,7,0,5,0,4,152,17,3
"PPP2CB",91,223,1,0,5,22,0,0,3,4,5,0,0,3,0,0,3,37,1,12,0,6,548,57,14
"PURG",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WRN",13,25,0,0,0,3,0,1,1,0,4,1,0,0,1,0,0,6,0,0,0,0,70,12,1
"NRG1",60,93,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,2,1,0
"RP11-11N9.4",35,7,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,9,0,0,29,7,0
"RP11-722E23.2",2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,1,0
"FUT10",5,12,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,34,3,1
"TTI2",9,30,0,0,0,1,0,0,1,1,4,1,0,0,0,0,0,1,0,1,1,4,61,2,3
"MAK16",10,37,0,1,0,5,1,1,2,3,2,1,1,0,0,0,2,7,0,5,0,2,154,16,1
"RNF122",5,7,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,6,7,0
"DUSP26",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,6
"UNC5D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-150O12.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
"ZNF703",21,148,0,0,0,29,0,0,1,0,1,0,0,0,0,0,0,48,1,4,0,2,476,5,34
"RP11-863K10.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ERLIN2",33,64,1,1,1,7,0,1,3,0,1,1,0,1,1,0,0,6,1,8,0,5,295,14,4
"PROSC",87,128,0,2,1,18,0,2,3,2,15,1,2,1,2,0,3,12,2,15,1,18,365,26,16
"ADGRA2",6,213,0,0,0,26,0,0,6,0,0,0,0,1,0,0,0,63,0,1,0,1,19,20,12
"BRF2",7,43,0,0,0,2,0,2,0,1,2,1,0,0,0,0,0,4,0,2,0,4,74,10,7
"RAB11FIP1",69,60,1,3,0,4,1,2,19,0,19,3,1,1,1,0,1,7,1,14,3,42,1326,8,3
"ADRB3",3,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"EIF4EBP1",244,497,3,6,1,23,4,0,5,3,6,0,1,1,8,1,9,37,6,35,4,21,1124,154,16
"KB-1836B5.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASH2L",25,81,1,2,0,10,1,1,3,1,8,1,1,1,0,0,1,10,2,9,1,13,150,17,3
"STAR",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-90P5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"LSM1",109,461,2,2,4,33,0,4,14,3,34,2,5,4,9,0,5,54,6,26,10,52,700,78,19
"BAG4",35,68,2,1,4,9,0,0,1,0,4,1,0,1,0,0,1,12,0,2,2,4,102,8,9
"DDHD2",16,40,0,0,1,15,0,0,1,0,2,1,0,0,0,0,0,4,1,1,2,9,72,15,0
"PLPP5",44,258,1,0,0,31,1,4,6,3,9,1,8,4,3,0,1,14,8,12,1,22,897,28,2
"WHSC1L1",74,230,3,2,5,40,1,7,9,2,37,4,2,6,9,2,0,45,2,20,6,65,707,58,14
"RP11-513D5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-350N15.5",4,7,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,30,1,1
"LETM2",3,18,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,1,4,127,1,0
"RP11-350N15.6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FGFR1",27,535,0,0,1,68,1,0,6,2,1,0,3,1,1,1,0,11,0,3,1,5,13,63,9
"RP11-675F6.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"TACC1",184,274,2,8,9,73,1,2,31,3,15,11,0,0,4,0,1,125,2,34,8,49,825,111,51
"PLEKHA2",130,53,3,1,0,18,2,6,4,2,11,1,0,3,8,2,0,23,0,9,4,11,61,0,4
"CTD-2544N14.3",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"HTRA4",6,5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"TM2D2",74,271,0,0,1,30,0,1,11,4,7,2,2,0,1,0,0,15,2,5,2,11,210,61,10
"ADAM9",260,201,1,4,0,13,0,1,4,0,0,0,0,0,0,0,4,44,0,24,0,1,1003,30,11
"ADAM32",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
