"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"LRCH2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3
"PLS3-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PLS3",1,25,0,0,3,0,0,2,0,1,0,0,0,3,1,0,2,0,0,0,0,0,36,0,0,0,0,0,0,353,96
"DANT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"SLC6A14",0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0
"CT83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"KLHL13",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,75,1
"WDR44",10,2,2,1,0,1,0,0,0,0,0,0,1,6,1,0,3,0,2,0,1,1,3,2,1,0,0,0,9,47,5
"DOCK11",26,3,4,4,2,1,0,0,3,6,2,1,9,7,3,0,11,3,0,2,0,2,5,2,0,0,0,1,12,53,1
"IL13RA1",79,14,1,14,0,0,0,5,0,0,1,0,8,1,1,3,0,0,0,0,2,2,15,0,7,0,0,0,0,386,26
"ZCCHC12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0
"LINC01285",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LONRF3",1,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,26,1
"PGRMC1",58,39,6,6,3,2,3,18,1,16,1,1,5,34,7,3,25,1,6,5,4,4,30,12,16,2,1,10,15,2105,60
"SLC25A43",18,7,1,1,0,0,1,2,0,2,0,0,1,6,4,0,3,0,1,2,0,3,7,1,4,0,0,0,1,134,7
"SLC25A5",784,137,67,229,37,31,24,19,45,90,6,5,101,320,89,36,187,9,19,27,31,63,160,133,107,67,37,45,190,14427,264
"CXorf56",8,3,3,2,1,2,3,0,0,7,1,1,6,11,3,3,12,1,2,2,1,4,5,4,3,1,1,0,9,90,8
"UBE2A",170,50,35,44,21,14,11,9,13,29,0,2,39,125,36,19,62,4,3,9,3,16,56,32,24,29,9,13,56,1053,72
"NKRF",11,0,2,3,1,1,1,0,0,4,1,0,4,17,9,3,4,0,0,0,0,0,2,2,2,0,1,0,6,118,5
"SEPT6",72,13,36,36,21,20,13,1,40,50,6,6,67,275,71,24,181,9,8,16,0,45,15,46,20,14,22,14,196,22,37
"SOWAHD",6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
"RPL39",2288,644,785,934,224,332,363,163,454,666,86,64,1948,4811,1248,679,3986,154,259,325,203,400,738,728,604,168,119,142,1962,49133,1400
"UPF3B",31,12,7,8,7,5,3,3,8,13,0,0,10,40,18,8,19,0,4,5,1,1,20,9,6,0,2,8,34,499,28
"RNF113A",21,6,10,7,3,7,3,1,15,15,2,1,11,60,14,5,18,4,2,8,1,4,10,29,3,0,1,7,50,339,16
"NDUFA1",317,62,30,70,26,27,11,14,20,39,3,1,47,166,53,12,82,4,17,16,23,25,85,95,49,16,13,9,120,2938,159
"AKAP14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"NKAP",51,12,7,8,3,3,4,6,2,4,2,0,6,35,15,6,20,0,1,3,1,5,17,12,7,2,3,4,21,740,26
"RHOXF1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"RHOXF1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"ZBTB33",4,1,1,2,0,1,0,1,0,2,0,0,3,3,1,0,6,0,1,0,0,3,4,2,0,0,0,0,2,63,10
"TMEM255A",4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAMP2",299,49,2,20,4,5,3,14,3,7,1,1,3,28,7,0,10,0,1,2,2,9,26,18,19,2,1,3,25,774,59
"CUL4B",10,5,3,2,0,1,1,0,1,0,0,0,1,10,8,2,5,0,0,1,0,1,0,0,0,0,0,0,6,105,14
"MCTS1",128,56,12,28,8,5,7,8,5,12,2,1,26,61,13,11,28,1,3,5,6,8,30,51,17,8,7,14,32,1707,94
"C1GALT1C1",39,11,5,5,1,3,0,6,2,7,0,0,1,20,3,5,7,0,0,0,0,2,11,22,1,1,2,2,10,504,24
"RP13-192B19.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"GRIA3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"THOC2",59,34,26,11,9,9,1,7,6,15,2,2,24,64,20,12,33,0,6,6,7,17,24,16,9,9,1,7,30,813,61
"XIAP",31,17,7,8,5,1,1,2,3,6,1,1,6,30,3,2,15,0,2,2,0,1,11,7,8,3,3,2,17,308,27
"RP1-315G1.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,24,1
"STAG2",34,7,10,15,5,6,2,4,2,12,0,0,15,39,15,3,27,0,6,8,1,8,8,8,7,7,2,9,21,317,25
"SH2D1A",3,0,52,0,12,31,20,1,24,4,1,1,0,61,45,0,46,1,10,1,0,0,0,2,0,1,11,38,115,11,1
"TENM1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SMARCA1",0,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,8
"OCRL",9,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,66,6
"APLN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,77
"XPNPEP2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,73,0
"SASH3",34,1,3,6,5,5,2,0,1,4,1,1,13,24,9,2,5,1,3,2,0,2,0,11,8,8,4,3,20,3,0
"ZDHHC9",7,12,1,0,0,1,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,1,3,1,0,0,0,0,2,434,19
"UTP14A",8,1,3,2,1,1,3,0,2,1,1,1,4,9,0,1,8,1,1,0,1,2,4,3,3,0,1,0,7,383,17
"BCORL1",2,1,1,0,0,0,1,1,0,0,0,0,2,3,1,1,2,0,1,0,0,0,3,0,0,0,0,0,0,50,6
"ELF4",3,1,0,1,0,0,0,0,0,1,0,0,3,5,1,0,2,0,1,0,0,1,2,0,1,0,0,1,2,108,4
"AIFM1",23,11,4,4,1,4,1,0,1,4,1,0,2,8,3,0,9,0,2,1,1,2,6,9,5,1,1,1,9,529,9
"RAB33A",6,1,0,1,2,1,0,0,3,8,0,0,0,13,2,0,3,1,4,3,0,0,2,0,0,1,0,1,26,2,1
"ZNF280C",2,0,1,1,0,1,0,1,0,3,0,0,2,2,2,1,0,0,0,0,0,0,1,0,2,0,0,0,3,32,4
"SLC25A14",2,2,1,1,1,0,0,0,1,2,0,0,1,10,3,0,3,1,0,0,0,1,3,3,1,1,0,0,2,115,7
"RBMX2",30,10,6,5,3,2,2,7,1,6,2,1,14,32,7,2,25,1,2,3,2,1,14,4,3,1,2,3,17,623,38
"ENOX2",11,1,0,0,0,2,0,0,2,3,1,1,3,3,5,0,5,0,0,0,0,0,3,2,2,1,0,2,2,57,6
"IGSF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FIRRE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"STK26",5,3,5,4,2,3,2,0,1,1,0,0,11,11,8,4,18,0,3,2,0,0,1,5,4,2,1,1,3,177,1
"RAP2C",22,7,9,5,4,6,5,1,5,17,1,1,16,44,10,9,27,3,5,5,0,8,7,13,9,2,0,2,23,163,12
"RAP2C-AS1",2,1,0,0,1,0,0,1,1,0,0,0,2,2,1,0,2,0,0,0,1,0,1,0,1,0,0,0,1,11,0
"MBNL3",8,0,0,1,1,0,2,1,0,1,0,0,4,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,29,2
"HS6ST2",0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0
"GPC4",1,26,0,0,1,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,1,142,1
"GPC3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"PHF6",9,6,1,2,1,1,1,0,0,3,1,1,8,10,2,2,8,0,1,0,0,3,3,3,3,8,1,2,4,163,9
"HPRT1",99,14,15,29,8,11,5,3,1,20,2,3,12,61,15,2,46,1,5,6,4,6,19,8,20,3,9,10,60,824,54
"MIR503HG",0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"PLAC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-308B5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM122B",21,2,3,5,2,2,2,1,3,2,0,2,8,14,8,1,15,0,1,2,0,10,2,5,5,1,1,3,12,169,6
"FAM122C",8,1,0,2,3,3,0,0,2,4,2,0,3,23,13,1,10,1,2,1,0,0,3,1,0,1,0,0,21,20,3
"MOSPD1",13,7,1,1,0,2,2,1,2,3,0,0,6,12,3,0,9,0,3,0,0,5,11,6,4,1,2,0,16,270,11
"SMIM10",5,4,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,15,0,1,0,0,1,0,3,13
"FAM127C",9,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,6,18
"FAM127A",40,51,1,11,1,1,2,10,0,1,0,1,1,8,5,0,4,0,2,2,3,0,52,2,7,0,1,1,5,194,61
"FAM127B",26,18,0,3,1,0,1,6,1,2,0,0,1,3,5,0,1,0,0,0,1,0,27,1,1,1,0,0,5,387,51
"RP11-85L21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZNF75D",2,0,1,1,0,0,1,0,0,4,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,4,29,5
"ZNF449",1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,7,2
"SMIM10L2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"DDX26B-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DDX26B",5,1,4,2,0,0,0,1,2,0,0,0,10,17,3,1,16,0,1,0,0,0,2,2,0,0,2,1,3,19,7
"MMGT1",23,2,5,4,1,1,0,0,0,6,1,0,5,17,5,3,16,0,1,1,1,6,3,4,2,0,0,1,9,149,13
"SLC9A6",9,2,0,1,0,1,0,0,0,2,0,0,0,3,4,0,1,0,2,1,0,0,3,1,0,0,1,0,3,24,5
"FHL1",0,56,0,1,0,0,0,18,1,0,0,0,3,9,1,0,5,1,0,0,0,0,39,0,0,0,0,0,3,3,21
"MAP7D3",3,7,2,2,1,0,1,0,3,1,0,0,3,14,1,1,8,0,1,0,0,0,12,1,0,0,1,0,6,16,14
"HTATSF1",42,17,7,9,4,0,2,4,7,7,2,0,12,49,15,3,17,2,2,3,5,2,9,13,11,0,1,5,21,411,37
"CD40LG",0,0,0,0,0,0,0,0,5,0,1,0,0,30,0,0,11,1,0,0,0,0,1,0,0,0,0,0,3,1,0
"ARHGEF6",40,5,1,4,3,0,0,1,4,9,1,0,3,35,3,1,7,0,3,1,0,1,5,2,4,1,4,3,26,1,12
"RP11-1114A5.4",1,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,17,3
"RBMX",89,62,36,46,18,24,21,14,20,54,3,10,82,246,67,32,183,8,9,24,4,32,46,45,12,16,15,23,132,1770,80
"FGF13",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,6,0
"FGF13-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"MCF2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ATP11C",17,5,3,6,1,0,0,0,0,2,1,0,2,4,2,0,4,0,1,0,0,1,8,1,3,1,0,0,3,85,17
"CDR1-AS",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"LDOC1",1,9,0,0,0,0,1,3,1,0,1,0,0,8,2,0,5,0,0,0,0,0,1,0,0,0,0,0,2,0,7
"SLITRK4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FMR1",15,3,4,4,1,1,1,2,1,3,0,0,4,11,5,1,8,0,2,0,2,1,3,3,3,0,1,2,4,193,11
"AFF2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"IDS",63,20,79,18,15,23,29,10,19,84,7,4,120,412,119,49,275,13,18,37,2,29,24,39,20,8,7,12,144,203,36
"AF011889.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00893",1,1,0,1,0,0,1,0,0,3,0,0,1,5,6,1,3,1,2,1,1,1,2,0,0,0,1,1,4,17,2
"CXorf40A",12,3,5,7,1,2,0,0,1,1,1,0,9,15,3,1,12,1,1,3,0,5,2,6,3,1,1,2,8,72,2
"TMEM185A",9,6,2,1,0,0,1,0,1,3,0,0,4,9,4,2,8,1,2,0,1,0,2,2,0,1,0,0,5,98,9
"MAGEA11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"CXorf40B",21,4,2,5,4,1,0,2,0,3,0,0,5,21,3,4,14,2,4,2,0,3,3,3,6,3,1,2,13,173,6
"LINC00894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAMLD1",7,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,3
"MTM1",9,0,0,1,0,0,0,1,1,3,0,1,1,7,0,0,1,0,0,0,0,0,1,2,3,0,0,0,1,57,5
"MTMR1",5,1,1,0,1,0,0,0,1,1,1,0,3,2,1,0,5,0,0,2,0,0,0,2,0,0,0,1,2,79,4
"CD99L2",6,4,0,3,0,1,0,3,0,1,0,0,1,5,1,1,2,0,1,0,0,1,4,3,2,0,0,1,1,34,14
"HMGB3",83,18,1,5,3,1,2,1,4,1,0,0,0,9,5,3,10,0,3,0,3,1,18,20,3,6,4,9,5,1818,51
"VMA21",154,18,11,31,3,2,1,0,0,12,2,0,10,52,14,5,25,1,3,1,1,10,12,24,23,7,4,5,32,623,35
"WI2-80269A6.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"XX-FW80269A6.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PRRG3",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FATE1",0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"GABRE",0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,189,6
"MAGEA3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,222,0
"CSAG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"MAGEA12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"CETN2",49,32,6,9,5,1,5,7,2,11,0,2,12,39,5,4,26,3,0,8,3,5,24,21,4,1,1,1,23,818,48
"NSDHL",14,4,1,2,0,1,0,1,1,9,0,1,3,4,1,0,4,1,1,0,1,0,5,1,2,0,0,0,9,282,5
"ZNF185",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,29,1
"PNMA5",2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PNMA6A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ZNF275",6,3,3,0,0,0,0,0,0,3,0,2,2,10,1,0,2,0,1,2,1,0,4,9,2,3,0,0,3,79,8
"ZFP92",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"HAUS7",8,0,0,1,3,1,0,0,0,2,0,0,0,1,1,0,3,0,0,1,0,0,1,1,1,0,0,3,1,79,8
"BGN",4,295,1,1,0,1,0,8,0,0,0,0,0,2,0,0,2,0,0,0,0,0,521,1,0,0,0,0,1,8,154
"FAM58A",28,9,6,5,1,3,3,1,2,9,1,1,5,32,5,4,24,2,4,5,2,1,2,14,6,2,1,2,11,445,25
"RP11-66N11.8",2,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,1,1,0,0,0,2,23,4
"DUSP9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PNCK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"SLC6A8",6,3,0,1,0,1,1,0,0,2,0,0,1,5,2,0,0,0,0,0,3,0,2,1,2,0,0,0,0,198,7
"BCAP31",334,42,26,49,13,9,11,11,8,30,2,0,26,126,33,11,50,4,8,11,8,17,36,45,37,6,8,7,71,2881,145
"ABCD1",14,2,1,4,0,1,0,1,0,1,0,0,1,3,0,0,4,0,0,1,0,2,2,3,2,0,0,0,2,45,2
"SRPK3",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,27,0
"IDH3G",116,37,9,31,7,10,5,4,5,12,5,0,9,63,17,2,29,1,9,4,3,12,39,29,27,5,7,6,47,1194,46
"SSR4",790,301,135,218,63,55,39,118,41,177,14,13,119,543,164,41,323,21,46,60,31,122,215,1592,161,9,18,32,303,7577,397
"PDZD4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"L1CAM",1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,161,1
"AVPR2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
"ARHGAP4",94,1,9,15,5,6,11,0,7,16,5,0,18,47,14,7,32,1,1,3,6,9,0,4,7,2,2,0,36,147,21
"NAA10",135,62,18,45,12,5,4,7,7,27,1,3,23,96,19,5,51,5,7,8,5,9,46,55,13,7,5,7,39,2362,152
"RENBP",154,0,0,10,0,1,0,0,2,0,1,0,0,9,1,2,3,1,0,0,0,2,1,1,14,0,0,0,8,21,6
"HCFC1",24,5,0,5,1,5,1,1,3,1,1,0,3,15,4,1,12,2,1,1,2,4,7,8,2,2,2,2,8,190,22
"HCFC1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"TMEM187",10,3,1,1,0,1,0,3,2,0,0,0,2,9,0,0,4,1,0,0,0,1,3,2,0,0,0,0,5,100,4
"IRAK1",45,7,3,9,0,1,4,0,0,4,1,0,6,13,7,2,11,0,2,2,2,5,4,18,11,2,4,1,2,516,19
"MECP2",39,9,15,11,2,3,10,1,4,11,2,0,15,73,12,5,37,4,6,5,2,7,11,8,11,3,2,2,27,219,26
"TKTL1",0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"XX-FW83128A1.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLNA",147,174,19,41,12,12,8,18,7,31,2,2,21,87,27,10,43,5,21,14,10,8,114,9,45,2,7,9,72,911,157
"EMD",75,15,20,29,15,8,10,8,11,32,2,1,18,103,28,4,75,3,12,9,3,11,14,16,20,4,4,6,44,825,41
"RPL10",6197,2215,2584,2664,776,943,1120,659,1031,2408,245,225,5376,15869,3959,1972,13212,533,997,1188,552,1296,2507,3684,1710,661,325,476,5956,117492,5320
"XX-FW83563B9.5",4,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,4,0,0,0,0,1,11,1
"DNASE1L1",21,1,0,2,1,0,1,1,1,1,0,0,1,5,1,0,4,0,0,0,0,3,1,4,4,0,0,1,4,107,17
"TAZ",24,8,5,3,4,2,2,0,3,4,0,0,11,19,8,4,13,1,3,4,0,3,4,9,3,1,2,0,15,150,17
"CH17-340M24.3",62,4,2,14,0,0,0,1,3,1,1,1,1,8,1,0,3,0,0,2,0,1,4,3,5,0,1,1,9,118,11
"ATP6AP1",265,20,9,27,8,3,4,3,2,10,0,2,14,40,12,2,23,1,2,1,1,12,25,26,26,0,2,1,24,679,66
"GDI1",34,13,4,4,2,1,1,5,3,7,1,0,8,40,4,2,12,1,0,3,0,2,16,5,2,2,2,1,20,270,30
"FAM50A",160,35,15,31,9,9,4,11,7,20,3,2,12,68,15,5,40,0,3,8,8,5,50,18,14,1,4,7,40,788,79
"PLXNA3",7,4,3,3,0,1,0,1,2,3,1,0,7,9,2,5,10,0,3,3,4,0,6,1,0,1,1,0,7,131,2
"LAGE3",129,21,16,22,13,5,7,9,6,25,4,3,22,74,30,9,45,0,6,5,5,5,14,25,10,2,5,8,41,1044,57
"UBL4A",11,5,2,1,1,1,0,1,0,3,0,2,5,7,4,1,10,0,1,3,1,0,5,4,0,0,1,1,6,293,13
"SLC10A3",8,7,9,1,3,2,3,2,2,18,2,0,10,18,14,7,15,1,2,7,1,2,5,2,2,1,3,2,9,248,11
"FAM3A",19,6,3,13,2,1,1,2,0,4,0,0,5,18,6,1,6,1,0,1,2,4,7,12,2,0,0,1,14,370,15
"G6PD",40,7,11,11,7,5,4,2,3,10,0,0,8,20,12,3,6,1,5,4,1,3,9,6,4,1,3,7,22,352,18
"IKBKG",24,2,6,3,2,4,4,2,1,13,0,1,11,18,1,4,9,0,4,1,1,1,4,4,4,1,1,4,15,137,12
"CTAG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GAB3",10,0,1,3,0,3,0,0,0,1,0,0,1,10,0,0,2,0,1,1,0,0,1,1,4,0,0,0,0,0,2
"DKC1",48,11,6,9,2,5,3,2,1,12,1,0,12,34,16,7,20,0,1,3,3,2,22,15,3,5,3,7,19,1133,17
"MPP1",183,6,4,9,1,0,0,0,0,4,0,0,4,6,3,1,3,0,0,1,1,4,7,1,12,0,0,0,6,314,13
"F8",9,1,3,1,2,2,0,1,1,3,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,6
"F8A1",26,6,7,2,1,2,0,5,3,9,1,0,5,27,11,1,14,2,0,2,0,0,6,3,1,1,2,3,10,102,7
"FUNDC2",102,31,20,24,8,7,8,9,5,25,0,1,37,71,19,13,58,5,10,9,4,9,38,24,15,4,6,5,61,1251,79
"MTCP1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0
"CMC4",1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11,2
"BRCC3",10,3,2,2,0,0,1,0,1,4,0,0,2,9,1,1,6,0,3,1,2,1,3,3,3,0,0,1,3,258,8
"VBP1",67,24,13,19,5,9,5,5,4,18,3,3,23,67,23,12,37,0,11,6,2,7,27,23,7,2,7,5,42,1078,38
"RAB39B",1,0,1,1,1,2,3,0,0,4,0,0,0,10,5,0,1,0,1,3,1,0,0,6,0,1,1,2,3,6,0
"CLIC2",36,6,0,12,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,4,0,4,0,0,0,0,4,46
"F8A3",1,0,1,1,0,1,0,0,1,2,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,14,0
"TMLHE-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TMLHE",13,3,2,3,0,0,1,2,1,1,0,0,3,1,4,1,0,0,0,0,0,1,5,1,2,1,0,0,3,178,6
"SPRY3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
"VAMP7",26,8,6,6,2,3,1,1,1,14,1,0,4,28,4,4,9,1,2,1,0,4,10,4,4,0,2,2,18,182,21
"IL9R",0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZNF596",3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,1
"RP5-855D21.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM87A",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
