"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"KB-1208A12.3",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,3,2
"ERICH5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"HRSP12",24,36,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,3,16,1,29,14
"POP1",0,6,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,6,0
"NIPAL2",10,8,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3,39,7
"STK3",20,37,2,2,0,1,1,0,0,0,0,1,0,0,0,0,2,11,16,0,42,23
"KCNS2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OSR2",5,73,0,7,0,0,1,0,0,1,0,6,0,0,1,0,0,4,5,0,23,0
"RP11-410L14.2",3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,5
"VPS13B",9,14,1,3,0,2,0,0,1,5,3,1,1,0,0,1,0,1,10,6,9,6
"COX6C",627,864,31,82,15,97,17,12,29,149,95,141,8,80,25,27,45,180,355,205,1363,492
"FBXO43",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"POLR2K",141,226,13,21,1,30,7,6,7,65,42,18,7,26,15,15,13,47,71,65,290,118
"SPAG1",0,3,1,0,0,3,0,0,3,3,2,0,0,0,2,2,0,1,5,2,57,10
"RNF19A",19,39,9,4,4,29,8,7,4,42,34,3,2,20,12,10,1,7,10,45,69,67
"KB-1615E4.2",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKRD46",7,8,0,1,0,1,2,0,1,1,1,1,0,0,2,0,0,1,1,4,15,8
"SNX31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PABPC1",908,880,101,262,9,103,65,19,90,537,215,111,27,405,94,50,154,195,998,393,1627,558
"YWHAZ",415,469,35,113,8,82,20,14,39,169,94,45,10,52,36,36,75,89,545,195,1078,201
"KB-1460A1.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"KB-1460A1.5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,1
"ZNF706",290,272,13,40,4,17,8,2,14,37,14,29,2,24,9,13,36,37,220,63,486,137
"KB-1410C5.5",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
"GRHL2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"NCALD",0,32,0,1,3,1,0,0,1,4,2,10,0,0,1,1,0,16,3,8,10,2
"RRM2B",26,23,0,1,0,1,0,0,3,6,3,1,0,0,0,0,5,2,15,1,16,6
"UBR5-AS1",3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,8,1
"UBR5",29,48,2,5,0,2,0,0,1,10,3,2,0,9,1,2,0,11,19,10,43,34
"KB-1980E6.3",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"KLF10",122,211,3,13,0,5,5,1,9,20,8,35,2,9,3,0,9,30,84,14,131,192
"KB-1732A1.1",2,25,0,1,0,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,22,12
"AZIN1",102,139,7,21,1,13,5,2,4,30,11,14,1,13,4,6,7,13,177,34,136,56
"AZIN1-AS1",3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,11,1
"KB-1507C5.4",40,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,1
"ATP6V1C1",120,40,0,21,0,3,1,0,0,8,4,3,0,2,0,2,1,7,133,4,36,22
"BAALC-AS2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BAALC",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,4
"BAALC-AS1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"FZD6",1,22,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,2,1,25,34
"CTHRC1",22,3194,0,5,0,4,0,0,3,8,0,36,1,1,0,0,2,14,15,5,27,220
"RP11-1C8.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"SLC25A32",16,31,4,2,2,5,3,2,4,14,10,1,0,4,3,3,3,6,15,14,34,26
"DCAF13",38,66,7,6,1,6,1,5,7,16,11,7,1,2,2,6,2,7,18,18,89,32
"RP11-1C8.5",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"RIMS2",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"DCSTAMP",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"LRP12",16,28,0,3,0,1,0,0,0,2,0,2,1,0,0,0,0,1,9,0,2,4
"ZFPM2",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"RP11-395G23.3",3,16,0,1,0,0,0,0,0,0,1,3,0,0,1,0,1,6,0,0,7,13
"OXR1",21,47,0,0,1,4,0,0,1,3,3,3,0,2,3,0,1,15,21,5,62,23
"RP11-649G15.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ANGPT1",1,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,1
"RSPO2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"EIF3E",271,571,48,85,5,68,17,11,66,210,107,97,14,135,42,44,60,126,251,168,676,342
"EMC2",16,63,0,0,1,2,2,0,3,2,1,12,0,2,1,2,0,12,13,5,67,25
"TMEM74",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"RP11-1084E5.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NUDCD1",4,17,1,0,0,2,1,0,0,3,1,2,1,2,1,0,2,3,2,2,18,19
"ENY2",247,381,14,48,1,28,7,7,16,58,31,20,2,20,17,11,24,41,247,53,369,239
"EBAG9",30,47,4,4,1,5,2,2,5,4,2,9,0,6,0,3,3,3,7,9,88,25
"SYBU",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,23,4
"TRPS1",22,62,2,5,0,6,1,0,0,9,3,2,0,5,0,1,0,7,25,10,0,5
"LINC00536",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EIF3H",218,411,26,55,3,43,21,8,28,109,49,53,7,84,14,26,32,79,225,114,591,168
"UTP23",6,25,2,1,0,0,4,0,0,14,10,3,0,3,3,2,3,9,10,8,23,17
"RAD21",54,78,4,6,2,13,2,4,6,25,8,8,2,8,6,4,3,12,47,32,149,45
"RAD21-AS1",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AARD",0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"MED30",38,54,9,9,1,9,7,3,4,13,10,2,3,17,10,3,13,7,49,27,50,25
"EXT1",6,58,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,6,17,1,30,23
"SAMD12",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,20,0
"AC023590.1",5,4,0,2,0,1,0,0,2,2,1,1,0,2,0,0,3,1,2,4,18,6
"TNFRSF11B",0,36,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,52,3
"COLEC10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAL2",2,8,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,7,2,664,5
"NOV",3,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,1,2,5
"ENPP2",79,26,0,5,0,0,0,0,1,2,1,0,0,0,0,0,2,1,10,2,3,33
"TAF2",12,21,0,4,0,4,2,0,2,5,5,1,0,2,1,0,1,6,2,3,18,14
"DSCC1",5,6,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3
"KB-1471A8.1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
"DEPTOR",8,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,13
"RP11-760H22.2",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"COL14A1",3,72,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,51,3,0,0,5
"MRPL13",49,116,10,13,1,12,0,1,7,18,4,7,2,10,1,3,4,27,32,17,101,42
"MTBP",1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1
"SNTB1",24,22,0,0,0,2,2,1,0,3,1,1,0,0,0,1,0,2,8,0,85,8
"RP11-713M15.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-713M15.2",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0
"HAS2",0,80,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,5,0,0,1,2
"HAS2-AS1",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-96B2.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-44N11.2",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0
"RP11-44N11.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
"ZHX2",20,11,4,1,0,1,0,1,1,4,1,2,0,3,1,1,0,2,18,7,12,5
"DERL1",65,90,8,14,0,19,7,1,7,26,10,4,1,8,6,2,9,13,33,35,94,40
"TBC1D31",2,4,0,1,0,3,0,0,1,1,3,0,0,1,0,0,0,2,1,2,7,1
"FAM83A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"C8orf76",19,35,3,4,0,3,2,2,0,6,4,1,0,2,2,2,3,5,12,10,48,14
"ZHX1-C8orf76",0,6,0,1,0,0,0,0,0,3,1,0,0,0,0,0,1,1,3,0,11,3
"ZHX1",14,29,2,1,0,4,0,0,1,2,4,2,0,5,0,1,0,9,11,8,30,18
"ATAD2",5,19,1,0,0,2,2,0,0,5,1,0,0,0,0,0,0,1,3,5,15,10
"WDYHV1",8,28,0,3,0,0,0,0,0,2,0,2,0,1,0,0,0,7,3,2,9,8
"FBXO32",7,142,3,0,0,5,2,2,0,6,8,52,0,1,2,0,0,38,1,2,21,33
"ANXA13",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"FAM91A1",48,36,5,4,0,3,1,0,2,8,3,2,0,0,2,4,3,8,32,8,53,35
"RP11-383J24.1",3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0
"TMEM65",12,23,0,2,0,1,0,0,0,1,1,3,0,2,0,0,3,2,13,2,24,15
"TRMT12",2,6,1,1,0,0,0,0,0,4,1,0,0,2,1,0,0,0,1,1,3,4
"RNF139-AS1",0,3,1,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,1,4,0
"RNF139",50,49,6,7,1,14,3,4,6,43,20,5,3,15,6,6,17,15,47,41,40,34
"TATDN1",41,81,1,5,0,5,1,0,1,12,4,8,1,7,5,3,1,16,33,9,109,23
"RP11-158K1.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"NDUFB9",217,364,12,26,0,35,9,3,14,73,23,43,3,34,16,10,8,59,179,73,514,173
"MTSS1",31,17,2,1,0,2,0,0,2,0,1,0,1,0,2,1,0,1,34,2,2,24
"RP11-532M24.1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-1082L8.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RP11-6D1.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SQLE",12,61,5,5,2,4,0,1,1,6,1,1,0,3,0,0,1,4,8,11,106,45
"KIAA0196",30,27,1,4,0,2,0,0,3,4,0,2,0,0,0,1,0,7,19,7,23,13
"NSMCE2",35,30,1,2,1,5,2,2,3,9,6,3,0,7,0,1,2,6,32,17,47,16
"RP11-550A5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TRIB1",142,113,3,32,0,1,4,0,5,8,1,13,0,2,1,3,19,29,94,19,296,101
"LINC00861",0,0,3,0,0,2,0,0,0,3,2,0,0,2,0,3,0,0,0,7,0,0
"RP11-103H7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"FAM84B",3,4,0,0,0,1,0,0,0,3,1,2,0,2,0,0,0,1,6,3,96,32
"RP11-89K10.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PCAT1",0,2,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,5,5
"PCAT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PRNCR1",1,0,0,0,0,0,2,0,0,4,1,1,0,1,0,0,0,0,1,0,7,3
"CASC19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CCAT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
"CASC8",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,38,2
"CASC21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,1
"POU5F1B",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"MYC",93,162,4,17,1,3,1,1,34,18,11,3,4,23,1,2,2,105,68,14,159,69
"PVT1",5,11,3,2,0,2,0,0,4,10,5,0,0,6,1,0,0,5,7,23,31,7
"LINC00976",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CCDC26",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GSDMC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"FAM49B",322,30,15,83,4,41,15,4,13,59,39,7,2,32,13,19,20,6,319,82,134,20
"RP11-473O4.4",0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
"ASAP1",73,114,1,6,1,7,1,1,2,8,5,2,0,6,1,2,1,27,87,5,22,80
"KB-1568E2.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"EFR3A",61,63,2,1,0,4,3,0,2,9,9,6,0,1,2,2,2,4,37,13,43,27
"HHLA1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"KCNQ3",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"LRRC6",3,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,4,3
"TMEM71",13,1,5,4,0,7,2,0,0,9,11,0,0,11,6,3,0,1,19,3,9,1
"PHF20L1",39,83,7,7,0,8,5,3,4,28,16,9,3,9,11,7,4,23,71,26,59,55
"TG",2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0
"SLA",44,4,21,4,6,41,8,5,2,41,33,0,0,8,15,14,1,0,51,59,10,1
"WISP1",0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"NDRG1",58,159,3,8,0,8,4,0,2,17,8,0,1,8,1,4,16,8,84,21,245,165
"ST3GAL1",73,51,4,5,2,11,1,3,1,16,17,1,1,8,4,13,5,7,53,13,61,33
"RP11-629O1.2",8,8,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,9,0,22,5
"RP11-157E21.1",4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"ZFAT",2,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,14,1,2,2,3,2
"AC083843.1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0
"AC083843.2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
"KHDRBS3",3,23,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,5,2,0,28,5
"RP11-30J20.1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-489O18.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL22A1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"KCNK9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TRAPPC9",4,11,0,0,0,2,0,0,1,1,2,1,0,1,0,0,0,0,7,5,17,5
"CTA-204B4.2",2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,1,1
"CHRAC1",32,40,8,6,1,11,7,1,6,25,6,5,2,13,4,3,5,19,29,8,57,23
"AGO2",40,37,9,15,1,11,2,6,3,23,15,3,1,10,6,7,2,15,61,13,80,37
"ERICD",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTK2",5,59,0,2,0,1,0,1,1,0,1,2,1,0,1,0,2,52,14,2,57,53
"DENND3",23,8,3,7,1,11,2,2,9,5,1,3,1,3,1,5,2,1,29,5,43,21
"RP11-809O17.1",16,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,14,2
"SLC45A4",12,7,0,0,0,0,0,1,0,1,2,0,0,3,2,1,1,1,4,1,32,7
"GPR20",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1
"CTD-3064M3.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTP4A3",2,21,2,5,0,0,1,0,4,7,1,15,2,7,0,1,9,95,8,30,27,102
"CTD-3064M3.7",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"TSNARE1",1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,3,0,8,1
"RP13-467H17.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"ADGRB1",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"ARC",29,78,0,1,0,0,0,1,0,3,0,12,0,0,2,0,1,6,6,0,54,1
"JRK",0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,3,14,7
"PSCA",2,3,0,1,0,1,0,0,0,3,2,2,0,0,1,0,1,0,3,3,273,3
"LY6K",7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1
"THEM6",5,5,0,0,0,1,0,0,0,2,5,1,0,0,1,2,0,1,3,0,57,17
"SLURP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"LYPD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
"LYNX1",3,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,7,0
"LY6D",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29,0
"GML",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-273G15.2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
"LY6E",445,1428,32,38,28,107,25,14,28,163,96,53,4,47,28,25,21,140,377,206,1286,405
"LY6H",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7,7
"GPIHBP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"ZFP41",0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0
"GLI4",5,15,1,1,0,5,0,0,1,2,2,2,0,3,0,0,2,3,5,1,14,11
"MINCR",7,21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,1,44,7
"ZNF696",0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,3,0,0,4,1
"RP13-582O9.7",1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
"TOP1MT",11,24,0,2,0,4,1,0,0,1,7,4,0,3,0,0,0,4,12,3,60,2
"RHPN1-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"RHPN1",3,3,0,1,0,1,0,0,0,3,0,0,0,1,0,0,3,0,3,5,29,6
"MAFA-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAFA",5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"ZC3H3",7,15,0,3,0,1,1,1,1,3,1,0,0,0,0,0,2,2,7,3,28,10
"GSDMD",44,117,5,7,2,14,8,4,11,23,16,16,1,6,3,3,18,32,62,42,93,109
"MROH6",12,10,1,0,0,2,1,0,0,3,0,1,0,1,0,0,1,3,11,1,59,5
"NAPRT",71,47,3,17,0,7,3,0,1,13,4,4,0,11,3,4,17,6,78,22,189,45
"RP11-661A12.7",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"EEF1D",851,1988,119,202,19,235,81,56,77,525,280,206,27,350,131,126,161,373,1103,546,1717,782
"TIGD5",0,7,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,8,3
"PYCRL",3,21,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,3,1,0,10,3
"TSTA3",40,104,3,11,3,15,4,1,3,23,9,10,0,11,3,5,1,8,30,31,178,35
"ZNF623",4,7,0,0,0,0,0,1,1,1,0,1,0,2,0,0,1,2,1,1,4,2
"ZNF707",3,4,1,0,0,2,0,0,0,2,1,0,1,2,1,0,1,0,2,5,12,2
"RP11-429J17.2",1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2
"MAPK15",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,0
"RP11-429J17.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FAM83H",1,4,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,3,0,132,3
"FAM83H-AS1",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,1
"RP11-429J17.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SCRIB",10,21,1,0,1,1,0,0,0,3,0,1,0,0,1,1,0,1,5,5,45,17
"PUF60",76,163,10,10,2,13,8,6,7,25,17,17,3,21,5,9,5,30,47,31,184,93
"NRBP2",5,13,0,2,0,0,0,0,0,3,0,1,0,0,0,1,0,1,2,1,19,7
"EPPK1",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,32,0
"PLEC",108,233,6,13,1,11,0,2,1,16,7,5,0,6,1,2,4,29,82,9,269,121
"PARP10",35,42,2,4,0,10,4,1,1,7,9,7,0,4,0,1,7,5,27,12,23,15
"GRINA",245,209,1,65,0,2,1,2,5,8,5,4,1,3,1,5,12,19,350,9,152,74
"SPATC1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMPD5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"OPLAH",8,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,6,3,25,1
"CTD-3065J16.9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,2
"EXOSC4",14,63,0,3,0,5,1,0,2,5,1,2,0,2,1,3,3,10,27,8,126,38
"GPAA1",80,196,5,14,1,6,1,2,4,14,9,17,0,5,2,4,13,37,42,27,112,57
"CYC1",125,187,6,29,1,10,6,2,8,23,12,25,2,9,7,9,11,54,101,32,411,110
"SHARPIN",44,126,6,7,0,6,3,1,2,22,10,13,0,6,2,3,3,23,35,29,139,38
"MAF1",89,194,16,14,3,16,7,3,4,40,17,15,0,17,13,6,14,25,40,47,142,94
"WDR97",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"HGH1",2,20,0,2,0,0,3,0,0,3,1,2,0,1,2,1,0,2,1,1,12,9
"MROH1",20,19,0,5,0,2,0,0,0,4,3,1,0,2,3,1,0,5,21,3,84,14
"BOP1",20,58,1,6,0,4,2,0,3,8,8,7,1,3,1,0,1,9,26,6,66,33
"SCX",0,21,0,1,0,0,0,0,1,1,0,10,0,0,0,0,0,0,1,2,7,2
"HSF1",44,86,4,13,1,10,2,1,10,25,9,14,1,12,2,4,0,19,24,22,147,64
"DGAT1",22,35,0,4,1,3,2,1,0,2,2,0,1,2,1,1,3,5,16,2,114,29
"TMEM249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GS1-393G12.13",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1
"SLC52A2",61,125,3,4,1,8,0,4,1,7,6,8,0,6,1,4,1,19,16,15,234,21
"FBXL6",7,10,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,4,4,58,9
"ADCK5",5,11,0,1,0,2,1,0,0,1,0,2,0,1,0,1,0,2,3,7,30,9
"CPSF1",12,23,0,4,2,4,2,0,1,4,5,5,0,2,0,0,4,6,7,9,41,19
"GS1-393G12.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"SLC39A4",37,64,0,5,2,6,0,0,0,9,1,3,1,2,0,2,3,8,38,4,286,27
"VPS28",197,282,16,30,1,28,10,2,11,55,23,39,3,20,10,10,6,53,139,49,321,154
"TONSL",2,3,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,18,9
"CYHR1",22,70,0,3,0,0,0,0,0,1,2,6,0,2,0,2,0,12,10,4,71,27
"KIFC2",7,10,1,1,0,2,0,0,0,2,4,0,0,2,1,2,2,2,8,2,36,3
"FOXH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PPP1R16A",11,22,0,7,0,0,0,0,1,2,0,3,0,1,0,1,0,5,7,6,135,13
"GPT",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,0
"MFSD3",11,21,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,6,1,47,8
"RECQL4",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4
"LRRC14",4,12,1,0,0,1,1,1,1,3,1,0,0,0,0,1,0,1,2,3,25,8
"LRRC24",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1
"C8orf82",13,61,1,7,0,1,0,1,0,0,0,6,0,1,0,1,1,11,3,4,78,13
