"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"TMEM249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"GS1-393G12.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SLC52A2",33,26,2,4,2,1,1,7,8,1,4,7,3,2,0,3,1,5,2,16,18,331,13
"FBXL6",7,5,1,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,1,2,0,113,1
"ADCK5",6,1,0,0,1,1,0,0,3,0,3,1,1,1,0,0,0,0,0,1,3,85,1
"CPSF1",9,8,0,1,0,0,1,3,2,1,3,3,2,2,1,3,1,3,1,7,7,104,3
"GS1-393G12.14",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
"SLC39A4",16,15,0,3,1,2,0,4,2,7,3,6,4,2,0,1,2,2,4,15,8,224,6
"VPS28",163,64,14,11,22,12,2,29,30,28,26,37,17,19,1,13,11,2,23,97,70,738,49
"TONSL",2,1,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0,2,0,28,1
"CYHR1",19,14,1,0,1,1,0,0,2,2,2,3,0,2,0,0,2,2,2,7,3,122,7
"KIFC2",4,0,1,1,0,0,3,1,0,2,1,1,0,1,0,0,1,1,0,5,1,21,1
"FOXH1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"PPP1R16A",9,3,0,4,1,1,0,3,1,1,0,1,0,4,0,2,0,0,3,9,3,384,4
"GPT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0
"MFSD3",8,2,0,0,1,0,0,3,1,0,0,0,0,1,0,0,1,0,1,1,1,101,0
"RECQL4",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,1
"LRRC14",4,2,1,0,0,0,1,1,3,1,1,1,2,1,0,1,0,0,0,1,3,58,1
"LRRC24",1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,8,0
"C8orf82",12,21,1,1,1,0,1,5,2,2,1,0,1,2,1,1,1,0,3,8,7,126,11
"ARHGAP39",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,15,0
"ZNF251",1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,8,0
"ZNF34",2,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,15,1
"RPL8",1213,693,184,250,155,188,172,348,371,938,605,447,507,740,62,230,201,157,263,2274,1122,21851,539
"ZNF517",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
"ZNF7",4,6,0,0,0,0,2,1,1,2,3,1,4,3,0,1,0,0,1,2,4,37,2
"COMMD5",27,26,1,2,5,4,2,3,11,3,6,7,2,6,0,4,3,1,2,17,15,115,14
"ZNF250",1,3,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,1,0,1,3,1
"ZNF16",1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,1,2,19,0
"ZNF252P-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"C8orf33",14,11,1,0,4,3,1,3,3,4,9,2,4,6,0,3,4,4,3,10,15,230,29
"WASH1",10,17,3,0,1,2,2,6,2,6,4,4,1,3,0,1,3,1,2,12,19,168,8
"XXyac-YRM2039.3",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01388",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOXD4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"CBWD1",30,9,2,4,5,1,3,5,5,6,9,5,5,5,1,2,0,1,2,38,19,329,9
"C9orf66",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0
"DOCK8",71,1,3,2,9,6,5,10,12,19,9,16,15,14,0,3,1,2,2,41,36,14,11
"KANK1",8,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,12,0,111,2
"DMRT3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"DMRT2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
"SMARCA2",22,16,0,0,0,4,3,10,5,4,7,6,3,3,0,2,3,3,5,8,9,97,14
"VLDLR-AS1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VLDLR",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PUM3",12,9,2,1,3,1,0,3,7,6,1,5,5,6,2,6,1,1,2,8,24,149,11
"RFX3",0,0,0,0,0,1,1,0,0,1,2,0,0,1,0,0,0,1,2,1,6,30,1
"RP11-509J21.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GLIS3",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,16,0
"SLC1A1",1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,58,0
"SPATA6L",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,1
"PLPP6",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,47,3
"CDC37L1-AS1",0,2,0,0,0,0,1,0,1,1,0,2,0,0,0,0,1,0,0,1,1,7,0
"CDC37L1",6,8,2,1,4,4,1,7,5,2,3,7,1,3,0,2,2,0,1,5,22,120,4
"AK3",20,23,0,3,3,3,5,2,2,7,7,7,2,4,1,2,2,2,8,18,37,347,22
"RCL1",2,6,0,1,1,0,0,1,2,1,4,1,3,2,0,1,1,0,0,7,9,51,4
"JAK2",21,7,0,1,0,0,2,0,1,3,0,4,0,0,0,1,1,1,1,10,1,44,2
"RLN2",0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2,0
"RLN1",0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"PLGRKT",56,21,1,1,4,5,4,14,7,10,6,12,2,10,1,2,5,3,3,44,28,397,8
"CD274",57,5,0,1,0,0,2,5,1,1,1,1,0,1,0,0,0,1,0,41,14,24,2
"PDCD1LG2",19,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"RIC1",15,4,1,1,1,1,0,4,1,1,0,2,2,0,0,2,0,2,2,6,7,15,3
"RP11-207C16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ERMP1",2,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,27,1
"KIAA2026",8,6,0,0,4,4,4,4,2,9,8,9,3,6,1,2,3,2,5,8,12,92,7
"RANBP6",2,2,0,0,0,0,0,1,1,3,0,2,0,2,0,0,0,0,0,1,3,18,4
"IL33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19
"UHRF2",5,5,0,0,3,1,2,5,3,3,1,4,1,4,0,3,2,0,2,3,19,50,15
"GLDC",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-390F4.3",1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
"KDM4C",8,2,1,1,1,1,0,2,3,4,3,3,4,5,1,4,1,2,0,8,7,41,3
"TMEM261",37,37,1,2,5,2,2,12,9,6,6,11,4,4,0,1,3,4,9,20,33,314,34
"PTPRD",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"TYRP1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LURAP1L-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"LURAP1L",1,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1,0,136,0
"MPDZ",1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
"LINC01235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19
"RP11-536O18.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,17
"NFIB",2,3,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,2,2,346,43
"RP11-408A13.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-408A13.4",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"ZDHHC21",8,6,0,1,1,0,0,1,1,5,1,2,5,1,0,0,1,1,2,0,7,68,5
"FREM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TTC39B",8,10,2,0,2,2,1,0,1,1,2,0,4,3,0,1,1,1,3,3,7,54,0
"SNAPC3",6,6,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,8,1,88,6
"PSIP1",12,11,5,3,7,10,2,14,9,13,16,13,15,15,1,7,4,10,3,9,44,203,21
"CCDC171",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0
"BNC2",4,14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
"CNTLN",8,6,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,3,7,0,40,4
"SH3GL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ADAMTSL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"SAXO1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RRAGA",46,30,4,3,3,5,2,8,6,8,5,10,2,7,2,3,5,4,7,22,17,209,17
"HAUS6",5,0,0,0,2,1,1,1,2,1,2,2,1,5,0,1,0,1,1,7,7,47,1
"PLIN2",346,36,15,5,8,9,8,58,14,9,34,10,11,15,1,1,1,1,9,624,83,110,15
"DENND4C",9,4,3,0,0,1,0,0,0,2,1,0,2,3,0,0,0,2,0,5,5,51,5
"RP11-513M16.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1
"RPS6",1314,904,353,355,238,330,293,599,588,1771,1322,777,992,1875,158,356,388,314,275,2545,1887,29239,914
"ACER2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLLT3",5,5,5,0,2,7,2,2,9,1,4,10,1,4,0,1,2,0,0,5,10,113,3
"FOCAD",4,2,0,1,0,0,0,1,0,0,3,1,0,1,0,0,0,0,0,0,1,46,0
"FOCAD-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"HACD4",24,9,2,6,4,4,4,1,7,3,9,7,3,3,1,1,3,0,0,22,13,15,2
"IFNB1",12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,2,0
"KLHL9",9,7,1,0,0,1,0,4,0,1,0,2,2,2,1,1,0,0,2,7,3,67,2
"MTAP",8,8,0,0,0,0,1,1,0,1,0,2,0,2,1,0,0,2,1,5,3,140,5
"CDKN2A",4,12,0,0,3,3,3,4,5,3,6,5,0,0,0,3,0,0,1,5,15,86,0
"CDKN2B-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"CDKN2B",10,17,0,0,0,0,0,0,3,0,1,0,0,0,0,3,1,0,0,14,1,93,0
"RP11-408N14.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ELAVL2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TUSC1",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
"CAAP1",10,4,2,0,1,1,1,1,1,9,2,3,5,5,0,1,2,1,1,12,5,129,6
"PLAA",8,7,0,2,1,0,0,2,3,1,1,3,2,1,0,1,0,0,2,7,10,139,1
"IFT74",3,4,1,1,0,0,1,3,1,1,0,0,0,0,0,0,1,0,1,2,2,74,0
"IFT74-AS1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"LRRC19",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,43,0
"TEK",0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,21
"EQTN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOB3B",20,5,1,6,0,0,0,0,0,4,1,0,4,0,0,0,0,1,1,43,0,71,3
"C9orf72",25,1,0,1,2,3,0,2,3,7,3,5,4,2,1,0,1,1,0,67,5,41,4
"ACO1",12,16,0,0,1,1,0,1,0,1,0,3,3,1,1,0,0,0,3,6,1,64,3
"DDX58",10,3,1,0,3,0,1,1,1,2,0,0,0,2,0,2,3,0,2,12,8,40,2
"TOPORS",13,17,4,0,6,6,2,11,12,6,12,6,14,9,1,6,7,5,5,13,40,116,9
"TOPORS-AS1",7,7,0,0,3,3,1,5,8,5,10,8,7,10,0,5,2,1,0,10,27,58,4
"NDUFB6",88,28,10,3,8,10,6,17,21,8,12,16,4,12,0,11,6,8,8,42,41,679,37
"GVQW1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"APTX",8,9,2,0,1,2,1,4,2,1,1,3,1,0,0,0,3,1,5,7,10,66,6
"DNAJA1",338,179,52,34,68,71,39,130,108,191,119,145,170,72,3,53,37,35,74,404,389,2371,168
"SMU1",25,10,0,3,6,5,2,6,4,12,5,6,4,5,0,2,4,3,3,24,17,164,10
"B4GALT1",83,34,5,6,13,8,4,13,17,22,15,17,11,9,2,13,14,27,4,111,38,257,29
"B4GALT1-AS1",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"SPINK4",61,24,7,4,8,8,2,9,6,8,18,21,7,14,1,6,8,1,11,73,30,12340,18
"BAG1",58,31,5,14,6,9,4,13,13,15,15,20,6,18,2,3,13,16,19,53,39,1087,33
"CHMP5",174,59,4,12,3,5,2,21,18,13,10,19,7,9,1,6,4,7,13,113,57,859,45
"NFX1",8,3,2,0,0,1,3,1,3,5,6,3,4,5,0,2,0,1,0,11,7,83,4
"AQP7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"AQP3",8,2,0,2,2,2,4,8,3,1,34,6,0,12,0,2,0,3,0,2,23,83,8
"NOL6",6,2,1,0,0,1,1,1,0,0,1,2,2,1,0,0,0,1,0,3,2,69,2
"ANKRD18B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"LINC01251",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"PRSS3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
"UBE2R2",40,16,2,5,1,1,0,5,4,7,3,4,0,3,0,0,6,1,1,46,16,238,16
"UBAP2",21,11,3,2,2,3,1,3,6,6,4,7,3,5,0,0,4,3,0,13,11,150,10
"DCAF12",20,0,0,1,0,1,0,3,0,3,0,1,0,2,0,3,1,0,0,9,16,112,5
"UBAP1",31,11,1,3,1,2,1,9,5,2,11,0,1,1,0,7,2,2,2,38,12,130,6
"KIF24",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"NUDT2",11,9,0,0,2,2,0,4,2,1,3,4,0,2,0,0,0,1,2,6,12,139,8
"KIAA1161",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,14,2
"C9orf24",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0
"FAM219A",4,5,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,34,8
"ENHO",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CNTFR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RPP25L",10,1,2,1,2,0,0,7,1,4,2,4,0,3,1,2,2,1,1,9,3,171,4
"DCTN3",59,33,2,8,13,11,4,12,21,10,15,24,8,13,1,12,7,7,9,53,42,258,40
"SIGMAR1",12,15,1,0,2,1,0,4,5,1,1,2,1,1,0,1,1,1,3,2,8,155,7
"GALT",7,6,1,1,1,3,0,3,4,3,6,2,3,4,0,3,0,2,2,5,9,66,3
"IL11RA",4,5,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,2,10,0
"CCL27",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-195F19.5",8,4,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,5,1,21,0
"RP11-195F19.9",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,7,0
"CCL19",11,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,2,5,0,9,0
"CCL21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
"DNAJB5-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DNAJB5",10,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4,0,2,2
"VCP",90,52,6,11,16,7,4,17,22,17,17,14,4,5,1,5,8,10,11,56,71,507,60
"FANCG",3,2,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3,29,1
"PIGO",3,2,0,1,1,1,2,1,1,1,0,2,0,0,0,0,0,1,0,3,1,52,4
"RP11-182N22.8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STOML2",50,30,7,9,6,8,0,9,17,7,12,22,10,9,1,13,1,8,14,46,47,923,25
"FAM214B",18,2,1,3,0,2,0,2,2,0,1,2,0,0,0,0,0,1,1,5,3,30,7
"UNC13B",4,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,67,4
"RUSC2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,2
"FAM166B",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TESK1",14,3,0,1,2,0,0,0,2,2,0,1,1,1,0,2,0,0,1,12,3,44,3
"CD72",50,0,0,4,0,0,0,1,2,14,1,1,19,0,0,0,1,1,0,12,3,8,0
"RP11-331F9.4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SIT1",6,1,3,0,4,7,1,12,0,4,3,13,8,6,1,0,5,3,0,2,44,6,1
"RMRP",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9,0
"CCDC107",91,34,9,6,12,13,4,13,21,25,21,22,17,12,2,8,10,1,11,55,50,519,10
"ARHGEF39",2,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,2,1,0,2,1,29,0
"CA9",1,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3,0,531,0
"TPM2",7,698,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,10,115,7,3,43,1
"TLN1",98,55,0,9,7,5,3,10,15,19,17,17,5,11,1,12,4,12,24,60,32,232,20
"CREB3",30,32,3,3,1,2,0,6,7,3,4,2,0,7,0,3,0,3,8,18,8,328,15
"GBA2",3,3,0,1,0,0,0,1,2,1,2,0,0,3,0,0,1,0,4,9,4,109,5
"RGP1",1,2,0,0,1,0,2,2,3,2,4,2,2,4,1,2,3,1,1,2,5,94,4
"MSMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
"RP11-112J3.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-112J3.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"NPR2",0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"SPAG8",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"HINT2",38,23,2,1,3,3,2,10,8,3,6,17,2,5,1,4,4,7,10,19,34,526,11
"TMEM8B",1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,20,0
"FAM221B",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"HRCT1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,2
"LINC00961",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RECK",1,6,0,0,1,1,1,2,0,0,1,3,0,2,1,0,0,1,3,5,3,1,1
"GLIPR2",118,21,4,24,15,20,5,11,24,6,7,24,1,6,0,15,11,5,8,167,39,41,13
"CCIN",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CLTA",225,97,5,17,14,15,4,21,18,19,13,21,6,15,1,5,2,8,32,112,67,1168,89
"GNE",3,4,2,0,2,0,0,0,5,0,0,3,1,1,0,0,0,0,0,3,0,62,0
"RNF38",5,2,1,0,0,1,0,2,5,1,5,3,5,3,0,3,3,1,0,13,5,89,9
"MELK",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,43,0
"PAX5",0,0,0,0,0,0,0,0,0,13,0,0,11,0,0,0,0,0,0,0,0,1,0
"RP11-297B17.3",0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
"RP11-220I1.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"EBLN3",17,8,0,2,1,2,0,2,3,12,5,4,10,6,0,3,1,2,2,8,18,144,13
"ZCCHC7",18,5,0,2,4,2,1,3,1,9,4,1,6,2,1,1,1,2,1,2,5,158,4
"GRHPR",44,29,0,8,3,4,1,11,8,4,8,5,5,4,0,3,7,9,7,32,12,374,13
"ZBTB5",1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,1,22,0
"POLR1E",2,6,1,0,4,1,3,1,0,2,4,1,1,6,0,0,0,0,0,4,7,78,2
"FBXO10",1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,0
"TOMM5",33,13,4,7,6,6,0,12,13,16,10,18,9,13,3,7,4,4,4,31,39,320,29
"TRMT10B",5,5,0,0,1,2,0,2,1,2,0,1,4,0,3,0,2,0,0,5,8,32,3
"EXOSC3",11,4,2,2,0,8,0,4,2,3,2,5,1,8,0,4,4,1,0,10,7,120,4
"DCAF10",8,12,0,0,1,0,0,5,4,1,2,1,2,3,0,0,1,1,2,5,9,76,6
"SLC25A51",8,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,1,19,2
"SHB",14,10,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,0,136,5
"ALDH1B1",7,17,0,0,0,1,0,0,0,0,0,1,0,3,0,0,1,0,0,5,2,273,1
"FAM95C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"ANKRD18A",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0
"FAM201A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"CNTNAP3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GLIDR",2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,2,0
"FAM95B1",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0
"AC129778.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"BMS1P14",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-318K12.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"BX255923.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CBWD7",2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,17,0
"CNTNAP3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"RP11-160N1.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
"FAM27C",1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,23,1
"RP11-374M1.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-111F5.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"RP11-111F5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,7,1
"LINC01410",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"RP11-262H14.3",2,2,0,0,0,1,1,1,0,0,2,2,0,1,0,0,1,2,0,0,3,32,4
"RP11-262H14.4",2,1,1,0,0,0,0,1,0,1,0,2,1,0,0,0,1,0,0,0,4,12,1
"RP11-381O7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-764K9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ANKRD20A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
"FOXD4L5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CBWD5",7,6,1,2,0,5,1,1,1,6,1,5,3,1,3,0,3,1,1,11,7,160,8
"RP11-15E1.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZNF658",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0
"CBWD3",4,3,0,0,0,1,1,1,1,4,1,2,2,2,1,0,0,0,0,2,2,42,2
"PGM5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-88I18.2",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"LINC01506",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"PIP5K1B",2,0,0,0,0,0,0,1,1,4,1,1,0,0,0,0,0,0,0,1,1,239,0
"FAM122A",9,9,0,0,2,2,0,2,1,4,8,3,1,6,1,2,1,3,4,8,15,62,2
"FXN",10,2,1,0,1,2,0,1,4,4,0,1,1,2,0,1,3,0,0,3,10,139,7
