"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"HSPBP1",17,2,2,3,0,2,1,0,1,1,1,0,8,0,1,5,1,0,0,3,5,9,337,1
"BRSK1",2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"TMEM150B",10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51,0
"CTD-2105E13.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"KMT5C",11,0,2,1,1,0,1,0,1,0,1,0,16,2,1,5,0,1,0,3,1,12,98,1
"COX6B2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7,1
"IL11",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TMEM238",4,2,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,94,1
"RPL28",5152,880,490,1032,128,497,349,210,258,212,353,416,5878,837,250,2247,390,211,475,516,2742,2541,51469,528
"UBE2S",76,15,8,6,1,4,6,2,1,2,7,4,63,22,1,12,5,1,7,6,29,35,667,21
"ISOC2",77,13,0,13,1,3,2,0,0,0,2,2,13,1,0,1,0,0,0,10,21,14,602,10
"ZNF628",5,5,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,41,0
"NAT14",0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,1
"SSC5D",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
"ZNF579",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,36,3
"FIZ1",1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,24,1
"ZNF524",36,4,2,0,0,1,1,0,0,0,2,0,22,1,0,5,1,1,2,4,12,11,234,1
"ZNF865",2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,24,6
"ZNF784",2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,22,1
"ZNF580",32,21,2,6,0,4,1,1,0,1,5,0,17,2,0,4,1,2,2,4,8,10,121,12
"ZNF581",26,2,2,3,2,6,1,1,0,0,0,2,23,2,1,4,0,0,2,2,4,6,154,2
"CCDC106",19,5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,11,1
"U2AF2",32,5,1,5,0,2,3,0,0,0,1,3,20,8,0,5,3,0,5,3,8,15,228,9
"EPN1",95,12,1,10,0,0,0,1,0,1,2,4,14,2,0,7,1,0,4,6,25,16,456,9
"NLRP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ZNF787",8,2,0,3,0,0,0,0,0,0,0,1,3,2,0,2,2,0,3,1,1,1,84,3
"ZNF444",7,7,1,1,2,1,1,0,0,0,0,0,8,1,0,0,1,0,2,1,1,4,124,1
"ZSCAN5A",3,0,0,2,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,5,1,14,0
"AC006116.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
"ZNF582",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"ZNF582-AS1",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"ZNF583",2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,8,0
"ZNF667",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ZNF667-AS1",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"ZNF471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC005498.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ZFP28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"AC007228.11",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ZNF470",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0
"ZNF71",3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,3,8,4
"AC007228.9",3,2,1,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,2,0,4,2,20,0
"ZIM2-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF264",4,3,0,0,0,0,0,2,1,2,0,0,12,2,0,2,0,1,1,0,2,3,2,3
"AURKC",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF805",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,2
"CTC-444N24.8",0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,2,1,2,1,10,1
"CTC-444N24.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZNF460",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,15,0
"CTC-444N24.11",9,4,1,2,0,0,0,0,0,0,1,1,7,0,0,1,3,0,0,0,0,2,67,2
"ZNF543",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"CTC-444N24.13",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ZNF304",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"ZNF547",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"TRAPPC2P1",12,2,2,0,1,2,1,2,0,0,0,1,10,3,0,4,0,0,2,1,4,6,59,4
"ZNF548",3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,3,2,3,0
"ZNF17",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,4,1
"ZNF749",0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
"AC004076.5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
"VN1R1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZNF772",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ZNF419",1,0,1,1,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,5,1
"ZNF773",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,0
"ZNF549",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0
"ZNF550",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ZNF416",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,0
"ZIK1",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0
"ZNF530",1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,8,0
"ZNF134",1,0,1,0,0,1,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,4,7,0
"ZNF211",2,0,0,0,0,0,0,0,0,2,1,0,5,1,1,1,0,0,0,0,1,2,6,0
"ZNF551",1,1,0,0,0,1,0,0,1,0,0,1,3,0,0,2,0,0,1,0,0,1,23,0
"ZNF154",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1
"ZNF671",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
"ZNF776",1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,8,2
"ZNF586",0,1,0,0,1,0,1,0,0,0,0,1,3,1,2,2,1,2,0,0,0,0,12,0
"ZNF552",0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,1,0,0,1,0,1,4,39,0
"ZNF587B",1,2,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,6,0
"ZNF814",2,1,1,0,0,0,1,0,0,0,1,1,3,0,0,2,0,0,2,1,0,1,25,2
"ZNF587",4,1,2,1,0,0,0,1,0,0,0,2,4,0,1,2,2,0,0,0,0,3,102,2
"ZNF417",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0
"ZNF256",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"C19orf18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZNF606",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,5,0
"ZSCAN18",1,10,0,0,0,0,0,0,1,0,0,0,4,0,1,3,0,0,1,1,0,2,7,1
"ZNF329",1,2,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,1,5,0
"ZNF274",6,3,2,1,0,2,0,1,0,2,1,2,14,2,2,6,0,0,1,1,4,13,61,4
"ZNF544",3,0,0,0,0,0,0,1,0,0,0,0,8,3,0,1,1,0,1,0,0,2,36,1
"CTD-3138B18.5",5,3,0,1,0,1,0,0,2,0,1,0,16,0,0,4,1,0,0,1,0,6,47,1
"ZNF8",1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,6,0
"AC010642.1",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,0
"ERVK3-1",6,2,1,3,0,1,0,0,2,1,0,0,3,1,0,2,1,1,0,1,2,1,31,2
"LLNLR-245B6.1",14,9,0,3,0,3,1,0,1,0,1,0,12,2,0,4,0,1,0,4,4,6,225,11
"ZSCAN22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"A1BG",35,10,2,5,3,1,0,0,3,0,2,2,19,7,2,7,2,0,9,3,8,8,7,3
"A1BG-AS1",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,1,2,0,0,3,0,0
"ZNF497",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0
"CTD-2619J13.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CTD-2619J13.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZNF837",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,1
"RPS5",1452,378,117,368,29,126,102,84,88,80,116,174,1853,218,131,792,151,52,244,305,742,681,16956,201
"CTD-2619J13.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZNF584",0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,1,1,0,0,0,0,0,36,0
"CTD-2619J13.14",0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1
"CTD-2619J13.19",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF324B",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11,0
"ZNF324",2,1,0,0,0,0,1,0,0,0,1,1,4,1,0,3,2,0,0,0,2,0,36,2
"ZNF446",1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,1,17,1
"SLC27A5",12,2,0,4,0,2,0,0,0,2,0,1,6,1,0,5,0,2,0,1,2,3,161,2
"CTD-2619J13.27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ZBTB45",4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,1,21,0
"TRIM28",40,12,4,7,1,1,4,0,2,0,1,2,25,4,1,9,5,1,3,3,11,10,375,6
"CHMP2A",117,22,5,21,3,10,4,10,3,7,9,3,90,18,3,17,8,3,7,13,58,63,1302,22
"UBE2M",39,0,0,5,1,0,0,0,2,1,1,3,13,4,0,3,4,0,3,2,12,7,165,6
"MZF1-AS1",1,1,0,0,0,0,0,1,1,0,1,2,5,1,0,1,0,0,1,1,1,6,21,1
"MZF1",2,0,0,0,0,0,0,1,1,1,0,1,4,0,0,2,1,1,0,1,0,3,79,0
"PCDH11Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"EIF1AY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA16c-60D12.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TPTEP1",2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0
"AC007064.24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CECR7",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"AC006946.16",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL17RA",26,2,0,3,0,0,1,0,0,1,1,0,6,6,0,2,1,0,1,0,11,7,22,1
"CECR6",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"CECR5",24,4,0,4,1,1,2,1,1,0,1,1,10,1,0,3,1,0,0,1,7,6,85,4
"CECR5-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CECR1",170,1,1,11,0,1,0,0,1,0,0,1,14,3,0,0,0,0,5,2,63,4,8,0
"CECR3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"CECR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SLC25A18",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0
"ATP6V1E1",67,7,4,4,1,4,1,2,1,0,5,4,38,2,2,7,3,1,3,2,13,23,129,5
"BCL2L13",24,2,1,3,0,1,1,1,1,0,1,0,10,4,0,4,0,0,8,3,10,6,46,4
"BID",150,5,4,59,0,5,3,0,1,1,2,1,19,6,1,5,3,1,33,6,107,23,226,13
"LINC00528",2,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0
"MICAL3",4,1,0,0,0,0,0,1,0,0,2,2,1,1,0,0,1,0,0,0,1,0,60,4
"XXbac-B476C20.9",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,1
"PEX26",14,4,0,1,0,1,1,0,0,0,0,1,10,2,0,5,1,0,1,3,4,2,49,1
"AC008079.10",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,7,0
"USP18",7,6,2,0,1,2,3,2,1,2,0,1,23,1,1,0,0,0,2,5,4,17,44,1
"AC011718.2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
"TMEM191B",8,4,0,1,0,1,0,2,0,0,2,0,8,1,0,1,1,1,0,0,4,0,99,1
"DGCR6",1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0
"DGCR5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"DGCR2",9,3,0,0,0,0,1,0,1,0,1,0,3,1,1,0,1,0,1,1,0,2,36,4
"DGCR14",6,5,1,1,0,2,1,0,0,1,2,0,10,1,0,3,0,0,1,1,2,11,23,4
"LINC01311",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"SLC25A1",31,14,1,8,1,2,1,0,1,1,0,1,17,0,1,6,1,0,3,3,16,2,188,2
"CLTCL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"HIRA",7,0,1,0,0,1,1,1,0,0,0,0,3,2,0,1,0,1,0,0,1,1,21,3
"C22orf39",40,7,1,8,2,1,2,0,1,1,6,1,32,4,0,8,1,2,3,6,21,26,158,5
"MRPL40",50,7,1,2,1,4,2,1,2,1,1,3,23,4,1,9,3,3,1,6,23,4,152,2
"AC000068.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"UFD1L",54,9,4,8,1,4,4,5,3,1,8,2,51,7,0,13,6,4,2,3,28,28,249,15
"AC000068.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CDC45",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"CLDN5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
"SEPT5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"TBX1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNB1L",7,2,0,1,1,0,2,0,0,0,1,0,8,0,0,0,1,0,1,0,0,5,20,0
"C22orf29",0,1,1,0,0,0,0,0,0,0,0,0,5,1,1,3,0,0,1,0,1,3,18,0
"TXNRD2",13,1,0,0,1,0,0,0,1,0,1,1,5,0,0,1,1,0,0,0,3,2,32,1
"COMT",173,14,1,28,0,6,2,2,1,1,3,3,40,3,0,9,2,2,13,1,41,22,376,11
"ARVCF",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
"TANGO2",17,5,0,2,0,0,0,0,1,0,0,1,6,2,0,1,0,0,0,0,2,8,14,1
"DGCR8",4,1,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,1,1,1,19,4
"TRMT2A",17,2,1,1,1,0,2,1,2,1,3,0,5,3,0,2,1,0,1,2,3,4,25,2
"RANBP1",138,18,3,17,3,4,5,9,2,4,9,7,90,17,5,30,14,0,8,8,69,51,751,18
"ZDHHC8",3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,1
"CCDC188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"LINC00896",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RTN4R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"DGCR6L",63,24,6,5,3,8,1,2,1,5,3,4,59,7,1,15,3,2,1,2,16,20,105,11
"XXbac-B444P24.14",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"XXbac-B33L19.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF74",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
"SCARF2",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"KLHL22",2,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,5,1
"MED15",26,7,2,3,2,2,5,0,0,0,0,0,21,1,1,1,1,0,1,0,8,8,113,3
"PI4KA",32,3,0,1,3,1,0,1,0,1,1,0,4,0,1,2,3,1,7,0,6,4,45,2
"SNAP29",54,4,1,5,0,2,1,0,1,2,1,0,14,4,0,5,0,0,8,2,9,11,67,2
"CRKL",11,4,0,1,0,3,1,1,0,1,1,0,11,3,0,3,1,1,5,0,4,6,33,0
"XXbac-B135H6.15",12,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,38,0
"AIFM3",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,38,0
"LZTR1",10,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,2,19,4
"XXbac-B135H6.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"THAP7",15,2,3,1,0,3,4,3,1,0,3,0,21,4,2,2,2,2,2,1,5,15,61,3
"THAP7-AS1",3,0,0,0,0,2,1,0,0,1,1,0,1,0,0,2,1,0,0,0,2,1,9,0
"SLC7A4",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LRRC74B",1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0
"KB-1183D5.13",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"HIC2",2,1,1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,4,1,30,0
"TMEM191C",9,3,0,2,0,1,0,0,0,0,2,0,7,1,0,2,0,0,0,0,3,1,59,0
"UBE2L3",159,16,6,25,5,23,10,3,7,9,14,6,128,17,4,49,15,6,5,11,104,64,457,19
"YDJC",17,2,0,5,0,2,0,2,0,1,2,4,26,2,1,1,1,1,0,2,8,12,206,1
"CCDC116",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SDF2L1",179,25,5,20,3,5,7,3,1,4,7,4,52,11,0,13,8,1,4,41,53,25,571,10
"PPIL2",6,0,1,0,0,1,2,1,0,0,0,0,13,3,0,2,0,0,2,1,1,3,41,3
"YPEL1",1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,8,0
"MAPK1",50,3,2,5,0,2,2,1,2,2,0,1,16,7,3,5,4,3,2,0,21,14,74,4
"PPM1F",22,2,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,6,1,14,20
"LL22NC03-86G7.1",3,0,0,0,0,1,0,0,0,0,0,1,3,0,0,2,0,0,0,0,1,3,5,0
"TOP3B",1,0,0,0,1,1,0,0,0,0,0,1,3,1,0,2,0,0,0,0,1,1,21,0
"IGLV4-69",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
"IGLV6-57",2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,10,0,0,7,0
"CH17-264L24.1",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
"LL22NC03-2H8.5",1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0
"IGLV1-51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"IGLV9-49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"IGLV1-47",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
"IGLV7-46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"IGLV5-45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"IGLV1-44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,1
"IGLV1-40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
"ZNF280B",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"ZNF280A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"IGLV2-23",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0
"IGLV3-21",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,3,0
"IGLV2-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"IGLV2-14",1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,29,0,1,7,0
"IGLV2-11",3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0
"IGLV3-10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,0
"IGLV3-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"IGLV2-8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"IGLV3-1",3,0,1,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,11,0,0,11,1
"IGLL5",3,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,501,0,1,8,0
"IGLC2",349,43,18,38,6,13,16,10,12,11,15,49,242,34,41,89,15,9,13,1594,170,101,1409,31
"IGLC3",176,21,8,17,3,6,5,4,3,5,6,20,94,22,42,37,9,2,9,87,76,41,601,9
"IGLC6",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,4,0
"IGLC7",115,12,8,12,0,5,6,7,3,5,11,7,87,14,2,19,5,1,4,34,61,31,454,17
"RSPH14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"GNAZ",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1
"RAB36",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0
"BCR",0,1,0,2,0,0,0,0,0,0,0,1,4,0,0,1,1,0,4,0,3,0,35,14
"AP000344.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"IGLL1",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,4,0
"DRICH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RGL4",0,0,7,0,3,8,3,1,3,5,7,1,47,6,0,14,3,4,0,1,1,17,4,0
"ZNF70",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"VPREB3",0,0,0,0,0,0,0,0,0,0,0,34,0,0,23,0,0,0,0,4,0,0,2,0
"CHCHD10",286,30,7,26,3,3,3,7,2,4,4,17,88,13,4,24,3,2,11,20,115,39,1502,13
"MMP11",0,251,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,2,0,12,18
"SMARCB1",42,17,0,9,2,5,1,1,0,1,4,12,25,6,2,12,6,1,10,6,21,14,198,12
"DERL3",9,0,0,1,0,0,0,0,1,0,0,3,4,1,0,0,0,0,7,92,1,0,30,1
"KB-1125A3.11",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC2A11",3,2,0,0,0,1,0,1,0,0,0,1,4,0,2,1,1,0,1,1,0,1,21,1
"AP000350.10",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
