"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","Normal Epithelial cells","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"RHBDL1",3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,129,3,0
"LA16c-313D11.9",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STUB1",136,417,2,5,64,1,3,12,0,23,4,3,5,10,5,51,28,41,1066,95,27
"JMJD8",32,127,0,0,10,0,0,4,0,2,1,0,0,2,1,21,2,5,213,36,10
"WDR24",19,33,0,1,3,0,0,0,1,3,0,0,0,0,10,3,2,5,519,3,2
"FBXL16",2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,101,0,0
"METRN",9,24,0,0,1,0,0,1,0,0,0,1,0,1,0,3,1,2,169,11,1
"FAM173A",93,289,1,3,24,2,0,2,1,14,5,2,0,6,12,25,18,29,741,38,7
"CCDC78",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
"HAGHL",42,75,0,0,7,0,1,0,0,1,1,0,1,0,1,4,2,3,304,1,0
"NARFL",10,56,0,1,5,0,0,2,0,3,0,0,2,1,2,4,1,5,132,8,6
"RPUSD1",16,53,0,1,3,1,1,0,0,7,3,0,1,1,0,4,3,4,166,18,1
"CHTF18",3,15,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,76,5,0
"GNG13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"LA16c-360A4.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LMF1",5,52,0,0,6,0,0,0,0,2,1,0,0,0,0,3,0,2,104,19,0
"LMF1-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-161M6.2",0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,46,7,0
"SOX8",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
"RP11-161M6.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"RP11-616M22.11",0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"CACNA1H",0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,22,0,0,8,0,28
"RP11-616M22.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TPSG1",5,7,0,0,0,1,1,0,2,0,0,0,0,0,5,1,1,0,349,2,0
"RP11-616M22.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TPSB2",5,7,0,0,0,0,0,0,967,0,0,0,0,0,0,2,0,3,12,1,1
"TPSAB1",8,7,0,0,0,0,1,0,1324,0,0,1,1,0,0,0,0,1,13,2,0
"TPSD1",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"LA16c-358B7.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"UBE2I",221,587,3,8,83,4,10,28,5,56,6,5,4,16,12,66,40,70,1755,125,33
"LA16c-358B7.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0
"BAIAP3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
"TSR3",44,148,2,2,17,0,1,4,0,5,2,1,0,3,0,32,6,23,272,34,14
"GNPTG",102,110,2,1,22,1,0,2,0,5,2,1,1,0,9,10,15,10,149,26,6
"LA16c-316G12.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UNKL",8,32,0,0,5,0,0,0,0,1,0,1,0,1,0,2,1,3,60,12,1
"C16orf91",20,69,2,0,12,0,1,2,0,7,3,1,0,1,0,12,3,2,260,23,5
"CCDC154",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
"CLCN7",62,75,0,1,10,0,0,2,0,0,1,0,1,3,0,7,5,2,112,19,0
"LA16c-390E6.5",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0
"TELO2",18,44,0,0,6,0,0,1,1,3,0,0,0,0,1,4,6,9,149,19,3
"IFT140",2,12,0,0,4,0,0,0,0,0,1,0,0,0,0,2,0,2,38,4,0
"TMEM204",1,189,0,0,56,0,1,6,1,7,0,0,1,0,0,49,0,2,7,151,11
"LA16c-395F10.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"CRAMP1",9,16,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,47,3,2
"LA16c-431H6.6",0,6,0,1,1,0,1,1,0,3,0,0,0,0,0,1,1,1,24,2,0
"HN1L",24,60,0,0,4,0,1,3,0,2,0,1,1,1,3,10,1,4,426,22,3
"MAPK8IP3",21,30,0,1,4,0,0,1,1,1,0,0,0,2,1,2,5,4,150,9,0
"NME3",123,493,1,4,90,3,4,12,3,28,11,2,6,7,6,64,29,35,1010,98,50
"MRPS34",123,387,2,7,61,0,2,5,5,39,5,2,4,5,12,34,27,51,1542,83,17
"EME2",9,7,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,52,2,0
"SPSB3",35,190,1,3,28,0,3,3,4,19,6,3,9,9,3,30,12,36,250,63,16
"NUBP2",57,216,3,2,26,0,3,11,0,18,3,2,3,1,0,24,9,17,350,47,10
"IGFALS",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
"HAGH",73,109,3,1,12,0,6,10,0,8,0,1,4,4,1,20,16,27,283,36,9
"FAHD1",19,73,0,0,7,1,1,2,0,3,0,0,0,0,1,5,2,8,191,16,1
"HS3ST6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"MSRB1",58,133,0,5,9,2,0,6,0,4,0,0,0,0,3,14,36,12,456,20,16
"RPL3L",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDUFB10",351,909,6,9,103,8,8,34,5,60,10,10,5,16,50,146,73,78,2983,223,92
"RPS2",2995,12915,90,252,1945,92,148,380,105,1059,311,94,373,280,491,1282,997,1412,32216,3206,464
"SNHG9",30,145,0,1,13,1,0,4,2,7,0,1,2,2,1,22,14,13,320,28,4
"AC005363.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"TBL3",26,64,0,1,4,0,0,2,0,4,0,1,0,2,1,12,2,9,217,12,7
"NOXO1",5,10,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,474,3,0
"GFER",48,166,0,1,21,0,1,3,2,13,3,2,2,1,3,14,10,13,687,28,5
"SYNGR3",0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,7,0,0
"ZNF598",17,51,0,0,3,0,2,1,0,5,0,0,0,1,0,4,2,1,150,15,2
"AC005606.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"NPW",0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,6,1,0
"SLC9A3R2",5,146,1,0,7,0,0,35,0,2,1,0,0,0,0,9,1,1,159,240,4
"NTHL1",34,129,0,0,20,0,0,7,0,6,0,1,1,4,31,20,7,8,1761,48,7
"TSC2",21,85,1,0,10,0,0,5,0,2,1,0,2,1,0,3,8,7,168,20,3
"PKD1",13,100,1,0,11,0,0,3,0,3,0,4,0,1,0,9,2,3,111,12,6
"RP11-304L19.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RAB26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
"SNHG19",7,85,0,1,15,0,2,1,2,1,1,0,2,1,4,13,1,6,454,12,5
"TRAF7",40,135,2,2,19,0,0,6,0,2,1,0,0,0,5,9,10,4,510,39,10
"CASKIN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"MLST8",38,130,0,2,20,0,1,3,2,4,1,0,2,1,2,13,4,5,359,19,4
"BRICD5",2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,16,0,0
"PGP",36,52,0,2,2,0,2,1,0,3,1,0,0,1,0,4,3,2,264,12,1
"E4F1",17,47,0,1,8,0,1,0,0,2,0,0,0,0,1,13,0,4,113,11,7
"RP11-304L19.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"DNASE1L2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0
"ECI1",22,45,0,0,6,0,0,1,0,2,0,2,0,0,0,8,2,3,434,20,4
"RP11-304L19.11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"RNPS1",113,336,6,6,37,1,4,4,2,32,6,3,8,12,0,46,21,61,939,95,28
"AC009065.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-304L19.13",2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,24,0,0
"ABCA3",1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,4,1
"CCNF",8,7,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,43,1,0
"RP11-715J22.3",0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"C16orf59",1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,19,1,0
"TBC1D24",10,14,0,0,3,0,0,1,0,0,0,0,0,1,0,6,2,1,25,8,1
"ATP6V0C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"AMDHD2",95,75,0,0,9,0,1,1,0,5,2,1,3,2,0,1,6,11,94,8,1
"PDPK1",47,87,0,2,8,1,0,1,0,6,3,1,0,2,4,5,8,4,335,20,6
"RP11-20I23.13",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
"RP11-20I23.8",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-20I23.6",2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
"CTD-3126B10.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"KCTD5",35,35,0,1,2,0,1,1,0,5,1,0,0,0,3,2,8,3,165,9,2
"PRSS27",0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0
"SRRM2-AS1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
"SRRM2",217,565,1,13,101,2,3,19,1,31,7,4,14,13,3,64,47,53,1390,198,49
"TCEB2",1200,2290,17,32,236,7,26,58,10,158,23,16,20,23,197,269,277,195,8881,536,138
"CTD-2270P14.5",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
"PRSS33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"PRSS21",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZG16B",39,51,0,2,5,0,2,1,0,3,2,0,1,1,36,6,7,23,3303,16,4
"PRSS22",4,4,0,0,1,0,0,0,0,2,0,0,1,0,3,1,0,3,360,3,0
"LA16c-325D7.2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"FLYWCH2",34,210,1,2,26,0,1,6,3,11,4,1,2,3,1,34,12,22,217,54,7
"FLYWCH1",9,48,0,0,5,0,0,3,0,8,0,0,1,3,0,6,3,4,44,9,1
"LA16c-321D4.2",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,1,0
"KREMEN2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"PKMYT1",0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,93,0,0
"PAQR4",17,18,0,0,1,0,0,0,0,0,0,0,0,0,2,3,5,3,115,7,2
"LA16c-380H5.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"LA16c-380H5.3",4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,135,0,0
"LA16c-380H5.5",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0
"CLDN9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
"TNFRSF12A",71,1969,0,1,33,0,1,2,0,8,3,1,1,0,12,98,7,7,1673,48,14
"HCFC1R1",287,914,1,1,141,0,2,6,0,5,1,7,0,0,4,158,22,19,266,58,89
"THOC6",55,167,0,6,12,0,1,2,2,9,1,0,3,3,3,18,11,9,254,16,11
"CCDC64B",2,27,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,1,417,1,1
"RP11-473M20.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"MMP25",6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
"MMP25-AS1",4,10,0,1,2,0,0,0,0,2,0,0,0,1,0,3,0,3,28,2,0
"IL32",201,2466,23,14,222,39,54,131,5,486,126,7,58,58,248,240,47,2018,8044,811,15
"RP11-473M20.9",15,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,13,7,0
"ZNF213-AS1",3,2,0,1,1,0,0,1,0,2,0,1,0,1,0,1,0,2,60,3,1
"ZNF205",9,52,0,0,10,0,0,3,0,0,0,1,0,0,0,3,0,1,133,19,5
"ZNF213",4,24,0,0,2,1,0,1,0,1,0,0,0,0,0,3,2,3,47,5,3
"RP11-473M20.16",6,16,0,0,1,0,0,0,0,2,0,0,0,1,0,1,4,0,45,0,1
"AJ003147.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ZNF200",8,13,0,0,3,0,0,1,0,1,1,0,1,0,0,2,1,1,86,4,3
"MEFV",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"LINC00921",6,3,0,0,2,0,0,1,2,0,1,0,0,1,0,0,3,1,9,1,1
"ZNF263",12,48,1,1,6,0,1,2,0,3,1,1,0,1,1,5,3,5,133,11,3
"TIGD7",2,10,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1
"ZNF75A",10,43,1,0,6,2,0,0,0,6,1,0,2,3,0,4,1,11,20,17,5
"LA16c-360H6.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"LA16c-306E5.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1,0
"MTRNR2L4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"ZSCAN32",4,14,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,1,41,3,1
"ZNF174",2,19,0,0,3,0,0,1,0,2,0,0,1,1,0,2,1,2,33,2,3
"ZNF597",0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,13,4,0
"NAA60",53,107,1,2,10,3,0,2,1,11,0,0,2,3,4,9,6,14,389,29,7
"CLUAP1",12,76,0,0,10,0,0,3,0,5,1,2,1,1,0,15,0,5,131,15,7
"NLRC3",0,2,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,7,3,7,0
"LA16c-390H2.4",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SLX4",7,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,24,2,0
"DNASE1",7,16,0,0,2,0,1,0,0,1,1,0,0,0,2,5,1,6,526,4,4
"TRAP1",15,95,0,4,13,0,0,2,0,5,2,1,0,0,8,7,4,13,557,20,7
"CREBBP",47,105,2,0,16,1,1,2,0,4,2,1,0,0,0,14,15,9,246,36,8
"ADCY9",8,33,0,0,2,0,0,0,0,1,0,0,0,0,0,8,1,1,23,10,5
"RP11-95P2.3",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"SRL",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"LINC01569",1,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,28,0,0
"TFAP4",5,21,0,0,2,0,1,0,0,3,0,0,0,0,1,3,1,0,94,5,1
"GLIS2",1,114,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,6,5,3
"PAM16",0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,20,0,0
"CORO7",73,30,1,1,2,1,1,2,0,9,4,0,3,1,1,6,8,13,191,19,0
"VASN",1,320,0,0,30,1,0,0,0,0,0,1,0,0,0,46,0,0,5,0,11
"DNAJA3",11,61,1,0,4,0,0,1,0,9,1,3,2,2,1,10,4,8,231,14,1
"NMRAL1",68,173,0,3,29,1,1,2,3,13,6,1,1,1,1,19,9,11,450,22,6
"HMOX2",65,220,3,4,27,1,9,12,0,48,8,1,8,3,4,29,10,35,475,120,9
"CDIP1",35,57,0,1,7,1,0,1,2,5,0,0,1,0,0,4,5,9,1,25,2
"RP11-709D24.5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBALD1",29,124,0,3,14,0,3,3,2,4,2,2,0,1,0,21,4,4,211,33,4
"MGRN1",42,76,2,2,8,0,0,2,0,7,2,1,2,4,1,7,7,10,255,31,1
"NUDT16L1",38,122,1,3,18,0,1,6,2,13,4,3,4,3,2,12,10,13,200,27,8
"ANKS3",10,108,0,0,13,0,0,0,0,3,1,0,0,0,0,9,2,2,111,9,1
"C16orf71",1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"ZNF500",7,25,0,1,4,0,0,1,0,1,0,0,0,0,0,7,0,0,27,3,2
"SMIM22",58,73,0,0,9,0,1,1,0,9,3,1,1,4,136,7,12,13,5269,16,6
"RP11-127I20.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ROGDI",28,87,0,5,19,0,4,11,0,12,1,0,0,0,0,11,4,1,153,17,7
"GLYR1",62,65,1,3,15,2,1,4,0,3,1,0,1,0,3,15,18,11,273,26,4
"UBN1",29,81,1,1,7,1,2,3,0,9,0,1,0,1,0,10,10,12,216,35,5
"PPL",2,11,0,1,2,0,1,3,2,1,0,0,0,0,2,1,2,0,333,3,2
"SEC14L5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"RP11-165E7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
"NAGPA",43,39,1,2,8,0,0,2,0,4,2,0,0,1,0,4,3,9,54,12,1
"ALG1",20,72,0,0,6,0,0,2,0,6,0,1,2,0,3,6,1,4,202,20,0
"C16orf89",2,11,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"EEF2KMT",15,56,0,0,4,0,0,1,0,1,0,2,0,1,0,4,0,8,185,12,1
"RP11-420N3.2",1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"RBFOX1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"METTL22",22,56,0,0,3,1,1,1,0,4,0,1,1,3,0,3,5,3,48,9,1
"ABAT",13,8,0,3,0,0,0,1,0,0,0,0,1,1,1,0,5,3,30,0,1
"TMEM186",8,50,0,0,4,1,0,0,0,4,0,1,0,2,0,6,3,5,102,9,1
"PMM2",6,34,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,3,102,8,0
"RP11-152P23.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-77H9.2",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
"CARHSP1",79,600,3,3,50,2,7,22,3,16,4,4,2,6,12,69,18,47,902,175,56
"RP11-77H9.5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USP7",37,88,2,0,10,1,0,3,0,5,7,0,1,1,1,11,14,12,394,35,6
"RP11-77H9.8",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"C16orf72",78,135,0,1,11,0,2,2,0,7,1,0,0,1,0,20,13,7,326,33,12
"RP11-473I1.5",2,14,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,2,4,2,1
"RP11-243A14.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"RP11-297M9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"GRIN2A",1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"ATF7IP2",24,22,2,1,3,2,4,0,0,7,2,1,1,3,1,0,3,21,104,6,2
"LINC01290",0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,15,2,0
"EMP2",74,371,0,1,88,0,0,21,2,3,0,4,0,0,4,68,4,7,1458,130,46
"RP11-27M24.1",1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0
"TEKT5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"NUBP1",77,96,0,4,19,0,1,4,0,6,1,2,0,1,0,10,15,15,275,16,8
"TVP23A",1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CIITA",53,2,0,3,1,0,0,0,0,1,0,0,1,0,0,0,12,1,4,1,0
"DEXI",14,125,0,0,24,2,1,1,3,7,2,1,1,1,0,10,0,6,142,21,5
"RP11-876N24.4",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
"CLEC16A",8,19,0,0,3,0,0,0,0,1,0,0,0,0,0,3,1,0,68,6,0
"RP11-66H6.3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
"RP11-396B14.2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"RMI2",6,8,0,0,1,0,0,1,0,0,0,0,0,0,2,0,2,1,55,1,0
"SOCS1",68,66,1,7,9,5,10,0,27,79,14,0,5,17,0,13,45,93,47,11,1
"RP11-485G7.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"CTD-3088G3.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"LITAF",967,458,8,26,118,4,1,1,3,21,6,2,10,20,3,61,298,32,474,65,37
"SNN",50,4,0,3,1,0,0,0,0,2,0,1,2,0,1,2,8,0,24,10,0
"TXNDC11",43,64,0,1,6,1,0,1,0,1,4,0,0,3,0,9,4,15,179,14,3
"RP11-490O6.2",12,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,10,1,0
"ZC3H7A",32,56,0,3,12,0,1,1,0,6,0,0,2,1,0,7,9,25,145,17,5
"RP11-486I11.2",2,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2,0,2
"RSL1D1",145,434,3,9,81,2,1,15,0,24,5,2,13,5,6,46,46,55,1222,90,24
"GSPT1",90,179,3,6,19,1,6,8,0,14,0,0,1,2,3,18,12,27,617,70,7
"RP11-166B2.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"TNFRSF17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"SNX29",53,70,1,0,9,0,1,2,2,2,1,0,1,0,0,2,6,4,36,19,3
"CTD-3037G24.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"CPPED1",88,46,1,0,7,1,2,4,2,2,1,0,0,0,1,9,45,6,202,32,5
"CTD-2583P5.3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"SHISA9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC4",15,50,0,1,2,0,0,4,0,5,0,1,1,1,0,6,1,1,53,11,2
"CTD-2135D7.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CTD-2135D7.5",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"MKL2",9,23,0,0,0,0,1,0,0,1,2,0,0,0,0,10,1,2,88,53,8
"CTA-276F8.1",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,22,4,1
"MIR193BHG",0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"RP11-65J21.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-65J21.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PARN",47,137,0,1,17,0,0,2,1,10,1,0,0,2,0,12,13,13,163,24,9
"BFAR",49,215,2,4,34,1,4,5,3,15,3,0,3,3,2,15,22,22,461,49,7
"PLA2G10",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,174,0,0
"NPIPA3",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"NPIPA1",6,23,0,1,3,0,0,0,0,0,1,0,0,0,0,3,2,0,48,7,2
"NOMO1",13,36,0,0,6,0,0,0,0,2,0,0,1,0,0,3,2,2,113,15,0
"MIR3180-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PDXDC1",48,161,0,3,12,0,1,5,2,8,1,1,0,3,6,22,11,11,864,25,6
"NTAN1",121,207,2,7,33,1,2,16,0,9,0,2,1,4,0,20,7,9,36,54,7
"RRN3",26,33,0,3,7,2,0,0,0,1,1,0,0,0,1,8,5,4,182,13,4
"RP11-72I8.1",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"MIR3180-4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"NPIPA5",2,10,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,32,4,1
"MPV17L",1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0
"C16orf45",10,219,0,0,28,0,0,4,0,1,0,1,1,0,0,25,2,5,8,30,21
"KIAA0430",28,71,0,0,6,0,0,2,1,1,0,0,2,2,1,10,6,7,134,18,6
"CTB-193M12.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDE1",22,39,1,0,8,0,1,1,0,8,2,0,1,1,0,4,4,6,52,11,1
"CTB-193M12.5",5,8,0,1,3,0,0,1,0,0,0,0,0,0,0,1,3,0,57,3,0
"MYH11",2,26,0,0,2,0,0,1,0,1,0,73,0,0,0,376,0,1,9,2,541
"AF001548.5",2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"FOPNL",29,81,1,0,19,0,0,2,0,5,0,0,1,2,1,8,4,8,214,14,4
"ABCC1",27,40,0,0,1,0,0,0,1,0,1,0,1,1,0,0,5,8,52,5,0
"ABCC6",4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
"RP11-517A5.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOMO3",1,13,0,1,0,1,1,0,0,2,0,0,0,0,0,1,0,0,27,2,0
"AC138969.4",2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,12,1,0
"XYLT1",13,52,0,1,4,0,0,0,0,4,0,0,0,1,0,1,2,2,15,4,0
