"","ImmProt_T8.naive_01","ImmProt_T8.naive_02","ImmProt_T8.naive_03","ImmProt_T8.naive_04","ImmProt_T8.naive_02_activated","ImmProt_T8.naive_03_activated","ImmProt_T8.naive_04_activated"
"3155",1,1,1,1,0,1,1
"3162",1,0,1,1,1,0,0
"26062",NA,NA,NA,NA,NA,NA,NA
"197257",0,0,0,0,0,0,0
"6448",1,0,1,0,1,0,1
"3290",0,0,0,0,0,1,0
"3291",NA,NA,NA,NA,NA,NA,NA
"3292",NA,NA,NA,NA,NA,NA,NA
"3294",NA,NA,NA,NA,NA,NA,NA
"51478",1,1,1,0,0,1,0
"3283",NA,NA,NA,NA,NA,NA,NA
"3284",NA,NA,NA,NA,NA,NA,NA
"80270",0,0,0,0,0,0,0
"57026",1,0,1,0,0,1,1
"3419",1,1,1,1,1,1,1
"3421",1,1,1,1,1,1,1
"3420",1,1,1,1,1,1,1
"3417",0,0,1,0,0,1,1
"3418",1,1,1,1,1,1,1
"7173",NA,NA,NA,NA,NA,NA,NA
"3425",0,0,1,1,0,1,1
"587",1,1,1,1,1,1,1
"8501",NA,NA,NA,NA,NA,NA,NA
"55586",NA,NA,NA,NA,NA,NA,NA
"114134",0,0,0,0,0,0,0
"6526",1,0,0,0,0,1,1
"3422",1,0,1,0,0,1,1
"91734",NA,NA,NA,NA,NA,NA,NA
"160728",NA,NA,NA,NA,NA,NA,NA
"8801",1,1,1,1,1,1,1
"8802",1,1,1,1,1,1,1
"8803",1,1,1,1,1,1,1
"9990",1,1,1,0,1,0,0
"6560",1,1,0,0,0,1,1
"57468",NA,NA,NA,NA,NA,NA,NA
"3795",0,0,0,0,0,1,0
"84679",1,1,0,0,0,0,1
"23315",NA,NA,NA,NA,NA,NA,NA
"8564",1,0,1,0,0,1,1
"3938",NA,NA,NA,NA,NA,NA,NA
"53",0,1,1,0,1,1,0
"3931",0,0,0,1,1,0,0
"387775",NA,NA,NA,NA,NA,NA,NA
"124637",NA,NA,NA,NA,NA,NA,NA
"366",0,0,0,0,0,0,0
"11283",0,0,0,0,0,0,0
"4047",1,0,1,0,0,1,1
"1178",0,1,1,0,1,1,0
"5321",1,1,0,0,1,0,0
"29124",NA,NA,NA,NA,NA,NA,NA
"51268",NA,NA,NA,NA,NA,NA,NA
"4023",0,0,1,0,0,0,0
"1056",NA,NA,NA,NA,NA,NA,NA
"3990",NA,NA,NA,NA,NA,NA,NA
"80339",NA,NA,NA,NA,NA,NA,NA
"11343",0,0,0,1,0,1,0
"50487",NA,NA,NA,NA,NA,NA,NA
"9227",0,0,0,0,0,1,1
"6309",NA,NA,NA,NA,NA,NA,NA
"4048",1,1,1,1,1,1,1
"4258",0,0,0,0,0,1,1
"4259",1,1,1,1,1,1,1
"4056",0,0,0,0,0,0,0
"2954",1,1,0,0,0,0,1
"2548",0,1,1,1,0,0,1
"56922",1,1,1,0,0,1,1
"64087",1,1,1,1,1,1,1
"23417",1,0,1,0,1,0,0
"4357",0,0,1,0,0,1,1
"4190",1,0,1,1,1,1,1
"4191",1,1,1,1,1,1,1
"4200",1,1,1,1,1,1,1
"4199",0,1,0,0,0,1,1
"10873",0,0,0,0,0,0,0
"3620",0,0,0,0,0,0,0
"1545",1,0,1,1,0,0,1
"1543",0,0,0,1,0,1,1
"1557",NA,NA,NA,NA,NA,NA,NA
"1544",NA,NA,NA,NA,NA,NA,NA
"27430",1,1,1,1,1,1,1
"4144",1,1,1,1,0,1,1
"4143",0,0,0,0,0,0,0
"4548",0,1,1,0,0,1,1
"4598",0,1,1,0,0,1,1
"8867",1,0,1,0,0,1,1
"3635",1,1,1,1,1,1,1
"3632",0,0,0,0,0,0,0
"3636",1,0,1,0,0,1,1
"27124",NA,NA,NA,NA,NA,NA,NA
"3633",1,0,1,0,0,1,1
"56623",NA,NA,NA,NA,NA,NA,NA
"3628",0,0,1,0,0,1,1
"3706",NA,NA,NA,NA,NA,NA,NA
"3707",0,1,0,1,0,1,1
"80271",0,1,0,0,0,0,0
"51477",0,0,1,0,0,1,1
"8821",0,0,0,0,0,0,0
"3631",0,0,1,0,0,0,1
"2595",1,1,0,0,1,1,1
"84693",0,1,1,1,0,0,1
"4594",1,0,1,0,0,1,1
"80168",NA,NA,NA,NA,NA,NA,NA
"116255",NA,NA,NA,NA,NA,NA,NA
"4507",1,1,1,1,1,1,1
"10797",1,0,0,0,0,1,1
"56913",1,1,1,0,0,1,0
"91703",0,0,0,0,0,0,1
"443",NA,NA,NA,NA,NA,NA,NA
"4668",1,0,1,0,0,1,1
"9498",NA,NA,NA,NA,NA,NA,NA
"57282",0,0,0,0,0,0,1
"6528",NA,NA,NA,NA,NA,NA,NA
"482",NA,NA,NA,NA,NA,NA,NA
"476",1,1,1,1,1,1,1
"480",NA,NA,NA,NA,NA,NA,NA
"483",1,1,1,1,1,1,1
"23439",NA,NA,NA,NA,NA,NA,NA
"477",1,1,0,0,0,1,1
"481",0,1,1,1,0,1,1
"478",0,0,1,0,0,0,0
"6549",NA,NA,NA,NA,NA,NA,NA
"6550",NA,NA,NA,NA,NA,NA,NA
"6548",1,1,0,1,0,1,1
"84735",0,0,0,0,1,0,0
"55748",1,1,1,1,1,1,1
"6559",NA,NA,NA,NA,NA,NA,NA
"57419",NA,NA,NA,NA,NA,NA,NA
"123041",NA,NA,NA,NA,NA,NA,NA
"9187",NA,NA,NA,NA,NA,NA,NA
"25769",NA,NA,NA,NA,NA,NA,NA
"124583",0,0,0,1,0,1,1
"79077",0,0,1,0,0,1,1
"9583",0,1,0,0,0,0,0
"1841",1,1,1,1,1,1,1
"4832",1,1,1,0,1,1,1
"4830",1,1,0,1,1,1,1
"29922",1,1,0,0,0,1,1
"10201",0,0,1,0,0,1,1
"4831",1,1,1,1,1,1,1
"4833",0,0,0,0,0,1,1
"57127",NA,NA,NA,NA,NA,NA,NA
"6005",0,0,0,0,0,0,0
"6557",NA,NA,NA,NA,NA,NA,NA
"6558",1,0,1,0,0,1,1
"349565",0,1,1,0,1,0,0
"64802",0,0,1,1,0,1,1
"23057",NA,NA,NA,NA,NA,NA,NA
"10135",1,1,1,1,0,1,1
"4837",NA,NA,NA,NA,NA,NA,NA
"5409",NA,NA,NA,NA,NA,NA,NA
"4843",NA,NA,NA,NA,NA,NA,NA
"4846",NA,NA,NA,NA,NA,NA,NA
"4842",NA,NA,NA,NA,NA,NA,NA
"4860",1,1,1,1,1,1,1
"6580",NA,NA,NA,NA,NA,NA,NA
"55808",NA,NA,NA,NA,NA,NA,NA
"30833",1,1,1,0,0,1,1
"5251",1,1,1,0,0,1,1
"56953",NA,NA,NA,NA,NA,NA,NA
"4907",1,0,1,0,1,1,0
"6476",NA,NA,NA,NA,NA,NA,NA
"5009",NA,NA,NA,NA,NA,NA,NA
"5019",1,1,1,1,1,1,1
"64064",NA,NA,NA,NA,NA,NA,NA
"1629",0,0,1,0,0,0,1
"594",1,0,1,0,0,1,1
"593",0,1,1,0,0,1,1
"26873",0,0,1,1,0,0,0
"4942",0,0,1,0,0,1,1
"7372",1,1,1,0,0,1,1
"10861",NA,NA,NA,NA,NA,NA,NA
"1811",NA,NA,NA,NA,NA,NA,NA
"1836",0,0,0,0,0,0,0
"1583",0,0,0,0,0,0,1
"1584",NA,NA,NA,NA,NA,NA,NA
"1585",NA,NA,NA,NA,NA,NA,NA
"1586",NA,NA,NA,NA,NA,NA,NA
"1588",NA,NA,NA,NA,NA,NA,NA
"1576",NA,NA,NA,NA,NA,NA,NA
"1593",0,0,0,0,0,0,1
"1548",NA,NA,NA,NA,NA,NA,NA
"1553",NA,NA,NA,NA,NA,NA,NA
"1562",NA,NA,NA,NA,NA,NA,NA
"1558",NA,NA,NA,NA,NA,NA,NA
"1559",NA,NA,NA,NA,NA,NA,NA
"1565",0,0,0,0,0,1,0
"1572",NA,NA,NA,NA,NA,NA,NA
"51302",NA,NA,NA,NA,NA,NA,NA
"64816",NA,NA,NA,NA,NA,NA,NA
"1577",NA,NA,NA,NA,NA,NA,NA
"1551",NA,NA,NA,NA,NA,NA,NA
"10858",NA,NA,NA,NA,NA,NA,NA
"66002",0,0,0,0,0,0,0
"8529",NA,NA,NA,NA,NA,NA,NA
"4051",0,0,0,0,0,0,0
"9420",0,0,0,0,0,0,0
"1582",NA,NA,NA,NA,NA,NA,NA
"5831",1,0,1,0,0,1,1
"5050",1,1,1,1,1,1,1
"5051",0,0,1,0,0,1,0
"5049",1,1,1,1,1,1,1
"5048",1,1,1,1,1,1,1
"7941",0,1,0,0,0,0,0
"347734",1,0,1,0,0,1,1
"57194",NA,NA,NA,NA,NA,NA,NA
"5337",0,1,0,1,0,0,1
"5338",0,0,0,0,0,0,0
"130013",NA,NA,NA,NA,NA,NA,NA
"5091",1,0,1,1,0,1,0
"5244",NA,NA,NA,NA,NA,NA,NA
"5136",NA,NA,NA,NA,NA,NA,NA
"5142",NA,NA,NA,NA,NA,NA,NA
"5137",0,0,1,0,1,0,0
"5151",NA,NA,NA,NA,NA,NA,NA
"50940",NA,NA,NA,NA,NA,NA,NA
"5139",1,1,1,1,0,0,1
"5140",0,1,1,0,1,0,0
"27115",NA,NA,NA,NA,NA,NA,NA
"5144",0,0,0,1,1,1,0
"5153",NA,NA,NA,NA,NA,NA,NA
"5150",0,0,0,1,0,1,0
"5138",0,0,0,0,0,0,1
"8622",NA,NA,NA,NA,NA,NA,NA
"5141",0,0,0,1,0,1,1
"5143",NA,NA,NA,NA,NA,NA,NA
"10846",NA,NA,NA,NA,NA,NA,NA
"5152",NA,NA,NA,NA,NA,NA,NA
"5148",NA,NA,NA,NA,NA,NA,NA
"8654",0,1,1,1,0,0,1
"5145",NA,NA,NA,NA,NA,NA,NA
"5147",0,0,1,0,0,1,1
"5146",NA,NA,NA,NA,NA,NA,NA
"5158",NA,NA,NA,NA,NA,NA,NA
"5149",1,1,1,1,1,1,1
"1737",1,1,1,1,1,1,1
"5162",1,1,1,1,1,1,1
"5160",1,1,1,1,1,1,1
"5161",NA,NA,NA,NA,NA,NA,NA
"55163",0,0,1,0,0,1,1
"10396",0,0,1,0,0,1,1
"5105",NA,NA,NA,NA,NA,NA,NA
"5106",0,1,0,0,0,0,0
"8310",0,0,1,0,0,1,0
"5833",0,0,1,0,0,1,1
"10400",NA,NA,NA,NA,NA,NA,NA
"26227",1,1,1,1,1,1,1
"5730",0,0,0,0,0,0,0
"27306",1,0,1,0,0,1,0
"9536",0,0,0,0,0,0,0
"80142",0,1,1,0,0,1,1
"5740",0,0,0,0,1,0,0
"114971",1,1,1,0,0,1,1
"9489",0,0,1,0,0,1,1
"5743",0,0,0,0,0,0,0
"5742",1,0,0,1,1,0,1
"6898",NA,NA,NA,NA,NA,NA,NA
"5053",NA,NA,NA,NA,NA,NA,NA
"5264",NA,NA,NA,NA,NA,NA,NA
"5728",0,1,1,1,0,1,1
"8871",0,0,1,0,0,1,1
"8395",0,0,0,1,0,0,0
"8394",1,0,1,0,0,1,1
"23396",0,0,1,0,0,1,1
"5297",0,1,1,0,0,1,1
"55361",1,1,1,0,0,1,1
"5298",0,1,0,1,0,1,1
"5295",1,1,0,0,0,1,0
"23533",0,0,1,0,1,1,0
"5290",1,0,1,0,1,0,0
"5293",0,0,1,0,0,1,1
"5296",NA,NA,NA,NA,NA,NA,NA
"8503",NA,NA,NA,NA,NA,NA,NA
"5291",1,0,1,1,1,0,1
"5294",1,1,1,0,0,1,1
"10870",0,0,0,0,0,1,0
"4952",0,0,0,1,1,0,1
"23236",0,0,0,0,0,0,0
"5336",0,0,1,1,0,1,1
"5335",1,1,0,1,0,0,0
"5334",0,0,1,0,1,1,0
"5331",0,0,1,0,0,1,1
"257068",NA,NA,NA,NA,NA,NA,NA
"84812",NA,NA,NA,NA,NA,NA,NA
"5330",0,0,0,0,0,0,0
"23007",NA,NA,NA,NA,NA,NA,NA
"51196",NA,NA,NA,NA,NA,NA,NA
"5332",0,0,0,0,0,1,1
"113026",NA,NA,NA,NA,NA,NA,NA
"5333",0,0,1,1,0,1,1
"89869",0,0,0,0,0,1,1
"5288",NA,NA,NA,NA,NA,NA,NA
"5286",0,1,0,1,0,1,1
"5287",0,0,1,1,0,1,1
"200576",0,1,1,0,0,1,1
"5305",1,1,1,1,1,1,1
"79837",1,1,1,0,0,1,1
"5289",0,1,1,1,1,1,1
"5277",NA,NA,NA,NA,NA,NA,NA
"51227",NA,NA,NA,NA,NA,NA,NA
"8818",NA,NA,NA,NA,NA,NA,NA
"9091",1,0,1,1,1,1,0
"5279",NA,NA,NA,NA,NA,NA,NA
"5283",NA,NA,NA,NA,NA,NA,NA
"123745",NA,NA,NA,NA,NA,NA,NA
"8398",1,0,0,0,0,0,0
"64600",NA,NA,NA,NA,NA,NA,NA
"81579",NA,NA,NA,NA,NA,NA,NA
"100137049",NA,NA,NA,NA,NA,NA,NA
"5322",NA,NA,NA,NA,NA,NA,NA
"5320",NA,NA,NA,NA,NA,NA,NA
"30814",NA,NA,NA,NA,NA,NA,NA
"26279",0,0,0,0,0,0,0
"5319",NA,NA,NA,NA,NA,NA,NA
"10654",0,0,1,0,0,1,1
"117283",NA,NA,NA,NA,NA,NA,NA
"9807",0,1,0,1,0,1,1
"51447",NA,NA,NA,NA,NA,NA,NA
"8876",0,0,1,0,0,0,0
"8875",0,1,0,0,0,0,0
"55350",NA,NA,NA,NA,NA,NA,NA
"27068",1,1,1,1,1,1,1
"8613",NA,NA,NA,NA,NA,NA,NA
"8611",0,0,0,1,0,1,1
"8612",NA,NA,NA,NA,NA,NA,NA
"5498",0,0,1,0,0,1,1
"8288",0,0,0,1,1,0,0
"9588",1,1,1,1,1,1,1
"4353",0,0,0,0,0,0,0
"5625",NA,NA,NA,NA,NA,NA,NA
"6578",NA,NA,NA,NA,NA,NA,NA
"23761",1,1,0,0,0,1,1
"9791",1,0,1,0,0,1,1
"81490",0,1,1,0,1,0,0
"10005",0,1,1,0,0,1,0
"10965",0,1,1,0,1,0,0
"122970",NA,NA,NA,NA,NA,NA,NA
"5805",NA,NA,NA,NA,NA,NA,NA
"6303",NA,NA,NA,NA,NA,NA,NA
"112483",0,0,0,0,0,0,0
"8566",1,1,1,1,1,1,1
"151531",NA,NA,NA,NA,NA,NA,NA
"7378",1,0,0,1,0,1,1
"2944",1,1,0,0,1,1,0
"64080",0,1,1,1,0,1,1
"5959",NA,NA,NA,NA,NA,NA,NA
"8608",NA,NA,NA,NA,NA,NA,NA
"112724",1,1,0,1,0,1,1
"157506",1,1,0,1,0,1,1
"51109",1,1,1,1,0,1,1
"57665",1,1,1,1,1,1,1
"195814",NA,NA,NA,NA,NA,NA,NA
"145226",NA,NA,NA,NA,NA,NA,NA
"50700",NA,NA,NA,NA,NA,NA,NA
"8228",0,1,0,1,1,0,0
"113278",NA,NA,NA,NA,NA,NA,NA
"54981",1,0,1,0,1,0,1
"6482",1,1,0,0,0,1,1
"6484",0,0,1,0,0,0,0
"6483",0,0,0,0,0,1,1
"10090",NA,NA,NA,NA,NA,NA,NA
"9653",0,0,1,1,0,1,1
"3423",0,0,1,1,1,1,0
"222537",NA,NA,NA,NA,NA,NA,NA
"9957",NA,NA,NA,NA,NA,NA,NA
"9951",NA,NA,NA,NA,NA,NA,NA
"9956",NA,NA,NA,NA,NA,NA,NA
"9955",NA,NA,NA,NA,NA,NA,NA
"9953",NA,NA,NA,NA,NA,NA,NA
"55501",0,0,0,0,0,0,0
"113189",0,1,0,1,0,0,0
"50515",0,0,0,0,0,1,1
"166012",NA,NA,NA,NA,NA,NA,NA
"411",1,0,0,0,0,0,0
"23563",NA,NA,NA,NA,NA,NA,NA
"4166",NA,NA,NA,NA,NA,NA,NA
"10164",NA,NA,NA,NA,NA,NA,NA
"9435",0,0,0,0,0,0,0
"8534",NA,NA,NA,NA,NA,NA,NA
"9469",NA,NA,NA,NA,NA,NA,NA
"56548",0,0,0,0,0,0,0
"266722",NA,NA,NA,NA,NA,NA,NA
"9394",NA,NA,NA,NA,NA,NA,NA
"90161",NA,NA,NA,NA,NA,NA,NA
"2799",1,0,1,0,0,1,0
"10157",1,0,1,1,0,0,1
"118881",1,0,1,0,0,1,1
"3176",0,1,0,0,0,1,0
"1757",1,1,1,0,0,1,1
"81537",0,1,0,1,0,1,0
"6652",1,1,1,0,0,1,1
"6342",1,1,1,1,0,1,1
"9056",1,0,0,0,0,0,0
"55304",NA,NA,NA,NA,NA,NA,NA
"9517",1,1,0,0,0,1,1
"10558",1,0,0,1,0,1,1
"2098",1,1,1,1,1,1,1
"8879",0,1,1,0,0,1,1
"8869",NA,NA,NA,NA,NA,NA,NA
"56848",1,1,1,0,0,0,1
"8877",0,0,0,0,0,0,0
"130752",NA,NA,NA,NA,NA,NA,NA
"339221",NA,NA,NA,NA,NA,NA,NA
"55627",1,0,1,0,0,1,1
"55512",0,0,0,0,0,0,0
"6609",0,1,1,1,1,1,0
"6610",0,0,0,0,0,0,1
"259230",0,0,0,0,0,0,0
"116369",NA,NA,NA,NA,NA,NA,NA
"115111",NA,NA,NA,NA,NA,NA,NA
"115019",NA,NA,NA,NA,NA,NA,NA
"284129",NA,NA,NA,NA,NA,NA,NA
"26266",NA,NA,NA,NA,NA,NA,NA
"6646",1,1,1,0,0,1,1
"6649",NA,NA,NA,NA,NA,NA,NA
"6648",0,0,0,0,0,0,0
"6647",1,1,1,1,1,1,1
"6697",0,0,0,0,0,1,1
"6723",1,1,1,1,1,1,1
"6611",0,1,1,0,0,1,1
"6713",1,0,1,0,0,1,1
"2222",0,1,1,0,0,1,1
"6715",NA,NA,NA,NA,NA,NA,NA
"6716",NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA
"6532",0,0,0,0,0,0,0
"6487",NA,NA,NA,NA,NA,NA,NA
"10402",1,1,1,0,0,1,1
"10610",NA,NA,NA,NA,NA,NA,NA
"81849",NA,NA,NA,NA,NA,NA,NA
"256435",NA,NA,NA,NA,NA,NA,NA
"30815",NA,NA,NA,NA,NA,NA,NA
"6489",NA,NA,NA,NA,NA,NA,NA
"29906",NA,NA,NA,NA,NA,NA,NA
"412",0,0,0,0,0,0,0
"6391",1,1,1,0,0,1,1
"6390",1,1,1,1,1,1,1
"6392",1,1,0,0,0,1,1
"6389",1,1,1,1,1,1,1
"6821",0,1,0,1,1,1,0
"6533",0,1,0,1,0,1,1
"5092",0,0,1,0,0,1,1
"23530",0,0,0,0,0,0,0
"79178",0,0,1,0,0,0,1
"6567",NA,NA,NA,NA,NA,NA,NA
"1890",0,0,1,1,0,1,1
"55217",0,1,1,0,0,1,1
"7296",1,1,1,1,0,1,1
"11181",NA,NA,NA,NA,NA,NA,NA
"80162",0,0,1,0,0,0,1
"7166",NA,NA,NA,NA,NA,NA,NA
"121278",NA,NA,NA,NA,NA,NA,NA
"169355",NA,NA,NA,NA,NA,NA,NA
"6999",NA,NA,NA,NA,NA,NA,NA
"6561",NA,NA,NA,NA,NA,NA,NA
"6916",1,0,1,1,0,1,1
"7054",NA,NA,NA,NA,NA,NA,NA
"7306",NA,NA,NA,NA,NA,NA,NA
"10020",1,0,1,0,0,1,1
"29880",0,0,1,0,0,1,1
"7355",NA,NA,NA,NA,NA,NA,NA
"7358",0,0,1,1,0,0,1
"23169",0,0,0,1,0,0,0
"80146",1,1,1,0,0,1,0
"5168",0,0,0,0,0,0,0
"84912",NA,NA,NA,NA,NA,NA,NA
"3906",NA,NA,NA,NA,NA,NA,NA
"7357",1,1,1,0,1,0,1
"11046",NA,NA,NA,NA,NA,NA,NA
"54576",NA,NA,NA,NA,NA,NA,NA
"54575",NA,NA,NA,NA,NA,NA,NA
"54657",NA,NA,NA,NA,NA,NA,NA
"54659",NA,NA,NA,NA,NA,NA,NA
"54658",NA,NA,NA,NA,NA,NA,NA
"54577",NA,NA,NA,NA,NA,NA,NA
"54600",NA,NA,NA,NA,NA,NA,NA
"54579",NA,NA,NA,NA,NA,NA,NA
"54578",NA,NA,NA,NA,NA,NA,NA
"7364",NA,NA,NA,NA,NA,NA,NA
"54490",NA,NA,NA,NA,NA,NA,NA
"7367",NA,NA,NA,NA,NA,NA,NA
"7365",NA,NA,NA,NA,NA,NA,NA
"10720",NA,NA,NA,NA,NA,NA,NA
"7363",NA,NA,NA,NA,NA,NA,NA
"54963",0,0,1,0,0,1,1
"7498",NA,NA,NA,NA,NA,NA,NA
"9942",1,1,0,1,0,1,0
"64132",0,0,0,1,0,0,0
"64131",0,0,0,0,0,0,1
"51181",1,1,1,1,1,1,1
"64077",1,1,1,0,0,1,1
"5464",1,1,1,1,1,1,1
"10724",1,0,1,0,0,1,1
"94033",NA,NA,NA,NA,NA,NA,NA
"2495",0,1,1,1,0,1,1
"1356",0,0,0,0,0,0,0
"2512",0,1,1,1,0,1,1
"1727",1,1,1,1,1,1,1
"51706",1,1,1,1,1,1,1
"51700",1,0,0,0,0,1,0
"10587",1,0,1,0,0,0,1
"80347",1,0,1,0,0,1,1
"84618",NA,NA,NA,NA,NA,NA,NA
"22978",0,0,1,0,0,1,1
"51251",0,1,1,0,0,1,1
"93034",NA,NA,NA,NA,NA,NA,NA
"100526794",NA,NA,NA,NA,NA,NA,NA
"353",1,1,1,1,1,1,1
"3251",1,1,1,1,1,1,1
"56954",1,1,1,1,1,1,1
"5313",0,0,1,0,0,0,0
"728441",NA,NA,NA,NA,NA,NA,NA
"124975",NA,NA,NA,NA,NA,NA,NA
"91227",NA,NA,NA,NA,NA,NA,NA
"102724197",NA,NA,NA,NA,NA,NA,NA
"92086",NA,NA,NA,NA,NA,NA,NA
"2686",1,1,1,0,1,1,1
"5211",1,1,1,1,1,1,1
"1491",1,0,1,1,0,1,1
"2819",NA,NA,NA,NA,NA,NA,NA
"29925",1,0,1,0,0,1,1
"29926",0,0,1,0,0,1,1
"102724560",0,0,0,0,0,1,1
"875",NA,NA,NA,NA,NA,NA,NA
"249",0,1,0,1,0,0,0
"22934",1,1,1,1,1,1,1
"2766",0,0,1,0,0,1,1
"51292",1,1,0,1,0,1,1
"57571",0,0,1,0,1,1,0
"8833",1,1,1,1,0,1,1
"5538",1,1,1,0,0,1,1
"641371",1,0,1,0,1,1,0
"11332",0,0,1,1,0,1,1
"55825",1,1,1,0,0,1,0
"51102",1,0,1,0,0,1,1
"37",1,1,1,1,1,1,1
"33",NA,NA,NA,NA,NA,NA,NA
"132158",NA,NA,NA,NA,NA,NA,NA
"641649",NA,NA,NA,NA,NA,NA,NA
"23475",0,0,0,0,0,0,0
"50484",1,0,1,0,0,1,1
"6240",1,0,1,0,0,1,1
"6241",0,0,1,0,0,1,1
"3156",0,1,1,1,0,1,1
"79966",0,0,0,1,0,1,1
"10588",0,1,1,0,0,1,1
"84890",0,0,1,0,0,1,1
"80025",0,1,0,0,0,1,1
"53354",NA,NA,NA,NA,NA,NA,NA
"79646",0,0,0,1,0,0,0
"83594",0,1,0,0,0,0,0
"7263",1,0,1,0,0,1,1
"26275",1,1,1,1,1,1,1
"29920",1,1,0,1,0,1,1
"7389",0,0,1,0,0,1,1
"1595",1,0,0,1,0,1,1
"130367",NA,NA,NA,NA,NA,NA,NA
"10478",1,1,1,0,0,1,1
"23443",1,0,1,0,0,0,0
"64240",NA,NA,NA,NA,NA,NA,NA
"64241",NA,NA,NA,NA,NA,NA,NA
"284111",NA,NA,NA,NA,NA,NA,NA
"8435",NA,NA,NA,NA,NA,NA,NA
"3988",1,0,1,0,0,0,1
"377677",0,0,1,1,0,0,0
"767",1,0,1,0,0,0,0
"765",NA,NA,NA,NA,NA,NA,NA
"759",0,0,0,0,0,1,1
"760",1,0,1,0,0,1,1
"23632",NA,NA,NA,NA,NA,NA,NA
"766",NA,NA,NA,NA,NA,NA,NA
"771",0,0,0,0,0,0,0
"768",NA,NA,NA,NA,NA,NA,NA
"762",0,0,0,0,0,0,0
"10057",0,0,0,0,0,0,0
"6556",0,0,0,0,1,0,0
"6568",NA,NA,NA,NA,NA,NA,NA
"7779",1,1,0,1,0,1,1
"54020",0,0,0,0,0,0,0
"215",0,0,1,1,0,1,1
"5825",0,0,1,0,0,1,1
"641372",NA,NA,NA,NA,NA,NA,NA
"9045",1,1,1,1,1,1,1
"4017",NA,NA,NA,NA,NA,NA,NA
"84105",0,0,1,0,1,0,1
"25830",NA,NA,NA,NA,NA,NA,NA
"84569",NA,NA,NA,NA,NA,NA,NA
"4025",NA,NA,NA,NA,NA,NA,NA
"54995",1,1,1,0,0,1,0
"93492",NA,NA,NA,NA,NA,NA,NA
"1267",1,1,0,0,0,1,1
"10249",0,0,0,0,0,1,1
"1573",NA,NA,NA,NA,NA,NA,NA
"1580",NA,NA,NA,NA,NA,NA,NA
"199974",NA,NA,NA,NA,NA,NA,NA
"260293",NA,NA,NA,NA,NA,NA,NA
"1555",NA,NA,NA,NA,NA,NA,NA
"1549",NA,NA,NA,NA,NA,NA,NA
"57834",NA,NA,NA,NA,NA,NA,NA
"29785",0,0,0,0,1,0,0
"1215",0,0,0,0,0,0,0
"1357",NA,NA,NA,NA,NA,NA,NA
"93979",NA,NA,NA,NA,NA,NA,NA
"57094",NA,NA,NA,NA,NA,NA,NA
"1358",NA,NA,NA,NA,NA,NA,NA
"7177",0,0,0,0,0,0,0
"64499",0,0,0,0,0,0,0
"23430",NA,NA,NA,NA,NA,NA,NA
"1636",0,0,0,0,0,0,0
"9365",NA,NA,NA,NA,NA,NA,NA
"9331",NA,NA,NA,NA,NA,NA,NA
"7368",0,0,0,0,0,0,0
"5315",1,1,1,1,1,1,1
"1666",0,0,0,0,0,0,0
"874",1,1,1,1,1,1,1
"10901",0,1,0,1,0,1,1
"126410",0,0,0,0,0,0,0
"2053",1,1,0,0,0,1,1
"8897",1,0,0,1,0,0,1
"8898",1,0,1,0,0,1,1
"9152",NA,NA,NA,NA,NA,NA,NA
"9497",1,0,1,0,0,1,1
"115584",NA,NA,NA,NA,NA,NA,NA
"6575",NA,NA,NA,NA,NA,NA,NA
"6574",0,0,0,0,0,1,1
"142680",NA,NA,NA,NA,NA,NA,NA
"6534",NA,NA,NA,NA,NA,NA,NA
"3293",NA,NA,NA,NA,NA,NA,NA
"1622",1,1,1,1,1,1,1
"225",0,0,1,0,1,0,1
"28965",NA,NA,NA,NA,NA,NA,NA
"23205",0,0,0,0,0,0,0
"26061",0,0,1,1,0,1,1
"54716",NA,NA,NA,NA,NA,NA,NA
"6564",NA,NA,NA,NA,NA,NA,NA
"113235",0,0,0,0,0,0,0
"1200",1,1,1,0,1,1,1
"2168",0,0,0,0,0,1,1
"51056",1,1,1,1,1,1,1
"9390",NA,NA,NA,NA,NA,NA,NA
"5184",1,0,1,0,0,1,1
"4891",NA,NA,NA,NA,NA,NA,NA
"30061",NA,NA,NA,NA,NA,NA,NA
"248",NA,NA,NA,NA,NA,NA,NA
"4524",0,0,1,0,0,1,0
"25796",1,1,1,1,1,1,1
"28982",1,0,0,0,0,1,1
"6120",0,0,1,0,0,1,1
"10864",NA,NA,NA,NA,NA,NA,NA
"9376",NA,NA,NA,NA,NA,NA,NA
"9356",NA,NA,NA,NA,NA,NA,NA
"348932",NA,NA,NA,NA,NA,NA,NA
"120103",NA,NA,NA,NA,NA,NA,NA
"1080",NA,NA,NA,NA,NA,NA,NA
"85320",NA,NA,NA,NA,NA,NA,NA
"222962",NA,NA,NA,NA,NA,NA,NA
"10351",NA,NA,NA,NA,NA,NA,NA
"9429",NA,NA,NA,NA,NA,NA,NA
"55867",NA,NA,NA,NA,NA,NA,NA
"364",NA,NA,NA,NA,NA,NA,NA
"89872",NA,NA,NA,NA,NA,NA,NA
"360",NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA
"125206",NA,NA,NA,NA,NA,NA,NA
"200010",NA,NA,NA,NA,NA,NA,NA
