"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"AIFM2",11,10,0,0,0,0,0,6,0,0,0,3,1,2,8,0,2,0,0,1,8,8,1,1,3,3,5,31,3,2
"TYSND1",6,1,0,1,5,0,0,3,1,0,2,0,1,1,5,0,1,1,0,0,4,0,0,1,3,6,4,15,3,0
"SAR1A",54,60,3,3,18,0,3,47,2,1,8,9,31,13,22,0,8,17,2,2,50,19,10,2,18,13,19,115,82,4
"PPA1",129,156,3,24,37,5,1,50,9,1,29,14,38,44,45,8,8,19,3,2,204,51,44,26,56,19,107,1600,224,4
"NPFFR1",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"LRRC20",0,7,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,2,3,0,2,2,0
"EIF4EBP2",25,27,7,3,19,2,0,15,5,2,15,10,19,23,31,1,3,9,3,0,56,6,10,5,28,27,21,92,69,6
"PALD1",11,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,7,0,5,0,0,0,0,8,23,0
"PRF1",1,1,5,0,47,3,0,0,3,1,5,0,0,16,43,0,0,1,37,15,3,0,0,0,16,28,27,0,1,0
"ADAMTS14",1,13,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
"SGPL1",85,14,0,1,1,1,1,2,1,0,1,2,6,3,1,1,1,2,1,0,14,1,8,0,5,4,8,27,8,0
"PCBD1",134,35,3,1,6,0,0,29,3,1,7,9,12,6,8,2,3,2,1,2,43,12,10,6,15,10,12,267,38,4
"UNC5B",12,49,0,0,0,0,0,6,0,0,0,3,1,2,0,0,0,0,0,0,34,0,0,0,0,1,0,4,73,0
"UNC5B-AS1",0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0
"SLC29A3",17,2,0,0,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,2,3,0,1,0,0,3,6,0
"CDH23",0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0
"C10orf105",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C10orf54",91,25,2,8,14,1,1,17,2,0,4,5,7,11,12,1,2,1,4,2,31,18,23,1,9,5,27,18,87,1
"PSAP",2411,350,6,35,31,5,6,211,5,4,15,50,50,27,40,5,20,12,5,4,143,40,206,8,31,23,47,312,305,17
"CHST3",0,5,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,7,0
"SPOCK2",11,4,9,0,30,4,1,0,25,3,40,0,29,82,32,0,10,29,4,4,1,13,0,0,71,31,175,17,19,0
"ASCC1",3,8,1,0,8,1,0,2,1,0,1,1,5,1,9,0,1,0,1,1,8,2,1,1,4,6,8,24,28,0
"ANAPC16",74,79,20,7,95,4,1,55,29,5,47,31,137,77,108,5,49,34,13,7,126,60,14,28,104,76,176,341,248,16
"DDIT4",14,72,7,0,34,4,2,21,7,0,32,78,65,49,37,1,19,37,13,6,99,15,3,7,36,24,117,518,145,17
"RP11-442H21.2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"DNAJB12",24,14,2,2,5,0,0,11,1,0,1,4,9,6,7,1,3,2,1,1,18,8,0,0,12,2,7,46,38,1
"MICU1",24,24,0,2,9,0,2,15,2,0,2,4,8,7,6,0,6,1,1,0,29,5,10,3,7,4,19,32,41,1
"MCU",0,7,0,0,0,0,0,5,1,0,2,4,3,2,1,0,1,1,0,0,19,4,2,1,4,3,3,28,28,0
"OIT3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"PLA2G12B",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0
"P4HA1",35,50,1,3,1,0,0,24,1,0,6,7,12,3,6,0,4,3,0,0,30,4,11,2,4,7,7,29,35,2
"RP11-344N10.5",0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NUDT13",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,3,2,0
"RP11-152N13.16",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,0,0,0,0,1,2,1,0
"ECD",7,11,2,0,1,0,0,3,2,0,2,2,5,4,8,0,0,2,1,0,9,1,0,1,7,5,6,22,21,0
"FAM149B1",6,3,0,0,1,1,0,3,0,0,0,1,2,0,0,0,0,1,1,0,9,1,0,0,2,2,0,13,13,0
"DNAJC9",29,12,1,0,15,1,0,9,4,0,6,4,10,12,24,0,2,9,3,3,15,9,4,27,64,39,31,66,33,1
"DNAJC9-AS1",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MRPS16",82,65,2,0,23,1,0,27,4,1,14,15,25,11,24,4,8,7,3,3,43,23,19,17,32,21,31,218,110,2
"RP11-152N13.5",1,0,1,1,1,0,1,3,0,0,1,0,2,0,0,0,0,2,0,0,4,0,1,1,1,3,2,2,3,1
"CFAP70",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
"ANXA7",68,59,8,2,19,1,0,30,4,0,10,13,36,13,25,2,6,8,1,2,48,8,4,7,26,11,25,105,79,5
"MSS51",0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"PPP3CB",17,21,2,2,6,1,1,11,3,0,4,6,16,9,8,1,3,2,0,1,18,8,4,2,3,5,5,30,27,0
"USP54",0,2,0,0,1,0,0,2,0,0,0,0,2,2,2,1,0,1,0,0,4,0,0,0,2,0,0,34,8,0
"RP11-464F9.20",0,2,1,0,3,1,0,0,0,0,0,0,5,0,2,0,2,0,2,0,1,1,1,2,0,0,2,7,2,0
"RP11-464F9.22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"MYOZ1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3
"SYNPO2L",1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"AGAP5",1,3,0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,2,1,0,0,1,0,8,8,0
"RP11-574K11.29",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"SEC24C",9,9,2,0,4,0,0,5,0,0,1,2,6,4,7,0,1,1,1,1,6,6,1,0,4,0,11,27,22,0
"FUT11",10,28,1,0,2,1,0,7,1,1,1,4,6,1,7,1,2,3,0,0,17,2,0,2,4,3,6,5,46,0
"CHCHD1",48,34,2,5,20,1,3,18,8,2,9,9,13,25,28,2,10,8,0,1,50,16,7,14,26,23,41,251,75,5
"ZSWIM8",11,11,2,3,6,0,1,7,0,0,5,1,7,7,9,0,1,2,1,1,19,1,2,2,4,5,14,19,26,1
"RP11-574K11.31",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDST2",6,1,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,3,2,1,0,0,0,0,1,3,0
"CAMK2G",11,8,2,0,8,0,0,5,3,0,6,6,16,11,13,1,2,5,0,0,23,2,2,4,11,9,17,44,50,7
"PLAU",168,137,1,4,4,0,0,16,0,0,1,3,0,0,1,0,1,0,0,0,33,0,13,0,1,4,0,8,66,1
"C10orf55",2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"VCL",9,102,0,1,4,0,0,22,0,0,1,4,19,2,4,2,0,4,4,0,201,1,3,3,6,5,2,48,105,13
"AP3M1",12,7,1,0,9,2,0,9,0,0,1,7,12,10,8,0,0,4,1,1,16,3,3,3,10,7,10,33,22,0
"ADK",21,17,1,1,8,1,1,10,1,0,4,4,20,5,9,1,8,6,1,3,17,8,3,4,17,12,15,69,14,1
"KAT6B",14,24,3,0,24,1,0,17,5,1,7,11,20,9,32,0,8,15,1,1,36,7,3,7,12,8,41,36,40,5
"SAMD8",9,14,0,1,9,2,0,10,1,0,0,3,11,4,12,0,6,6,0,0,20,4,5,1,6,6,11,22,37,0
"VDAC2",129,92,3,5,31,0,1,44,7,1,22,21,52,42,40,4,15,15,4,3,161,34,24,35,38,29,47,658,193,11
"COMTD1",17,5,1,0,13,1,0,8,0,0,5,4,5,9,11,1,2,3,0,1,9,8,4,4,15,8,14,91,24,0
"ZNF503-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0
"ZNF503",19,45,0,0,1,0,2,9,0,0,0,2,1,0,0,1,0,0,0,0,16,0,0,0,0,0,0,44,20,1
"ZNF503-AS2",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0
"RP11-399K21.13",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2,0
"C10orf11",30,1,0,0,0,0,1,9,0,0,0,8,1,0,0,0,0,1,0,0,9,0,3,0,0,0,0,13,40,0
"KCNMA1",47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,1,1,0,4,0,0,0,0,0,0
"RP13-39P12.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0
"DLG5",1,12,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,1,0,16,0,0,0,3,0,0,23,4,1
"POLR3A",8,5,0,0,5,0,1,4,1,0,2,1,8,1,5,0,4,5,0,0,7,0,1,1,3,0,5,23,14,1
"RPS24",1816,1696,236,173,832,121,23,1439,250,47,489,574,1664,964,1309,58,529,562,133,114,1764,540,495,406,886,611,1539,6039,4201,120
"LINC00856",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZMIZ1-AS1",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZMIZ1",31,52,0,2,13,0,1,7,0,0,5,6,6,1,15,0,0,2,1,0,43,7,5,1,7,10,4,16,64,1
"PPIF",47,11,0,8,6,0,0,5,2,2,6,0,5,9,1,0,1,1,4,0,13,8,15,1,13,12,8,79,12,0
"ZCCHC24",4,34,1,0,1,0,2,36,0,0,0,1,0,0,1,3,0,1,0,0,21,1,1,0,0,1,0,2,25,3
"EIF5AL1",9,11,1,0,2,0,0,2,0,1,1,3,6,1,3,0,4,1,0,0,8,4,3,0,8,6,2,56,14,1
"SFTPA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-506M13.3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"NUTM2B-AS1",8,17,2,0,10,3,0,11,3,0,11,16,17,14,13,0,6,9,1,1,25,7,4,4,13,12,25,28,48,3
"RP11-182L21.6",3,14,1,0,5,1,0,3,4,0,8,4,6,0,4,0,1,0,1,1,7,1,0,3,7,6,4,7,11,0
"NUTM2E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"SFTPD",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SFTPD-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"TMEM254-AS1",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0
"TMEM254",5,3,1,1,1,0,0,3,0,0,1,2,2,0,3,0,2,0,1,0,3,0,1,0,2,3,5,21,4,0
"PLAC9",0,67,0,0,0,0,0,182,0,0,1,0,1,0,0,0,1,0,0,0,154,2,0,0,0,1,2,2,35,13
"ANXA11",89,101,10,11,36,1,2,42,5,3,28,20,69,31,39,7,20,26,2,2,91,16,16,6,41,31,65,217,99,8
"LINC00857",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
"MAT1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0
"FAM213A",42,7,1,1,3,1,0,5,0,0,0,4,2,3,3,0,2,1,0,0,63,0,0,3,2,1,1,137,183,1
"TSPAN14",49,7,1,0,31,0,0,3,5,0,16,4,11,29,29,0,2,10,7,4,32,10,4,1,18,19,37,44,122,0
"RP11-137H2.4",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,0,0,2,0,0
"RP11-338I21.1",0,0,1,0,1,0,0,15,0,0,0,0,0,1,3,0,1,3,0,0,3,1,0,0,6,6,5,15,1,0
"GHITM",101,68,6,4,22,1,1,30,3,2,15,28,41,29,47,4,14,12,6,3,73,32,12,12,40,36,50,474,120,10
"C10orf99",3,1,0,0,2,0,1,2,0,0,1,0,5,1,2,0,3,0,0,0,5,1,0,1,2,1,9,457,5,1
"CDHR1",2,1,0,0,1,0,0,1,0,0,2,0,5,0,1,0,0,2,1,0,5,0,0,0,0,2,0,77,7,0
"LINC00858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"CCSER2",16,46,5,1,28,1,1,18,5,1,20,5,14,29,29,0,4,17,6,6,44,8,0,2,29,20,47,38,109,7
"GRID1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"WAPL",36,29,4,2,26,0,0,12,3,1,7,6,33,21,30,0,8,10,4,1,42,9,12,18,19,28,48,92,53,2
"RP11-77P6.2",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,1,0
"LDB3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,1,0,3,3
"RP11-359E3.4",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0
"BMPR1A",2,14,1,0,2,1,0,9,1,0,1,1,1,1,1,0,0,1,1,0,10,0,0,0,4,2,1,24,1,1
"MMRN2",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,2,205,0
"SNCG",0,2,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,35,1,0,0,0,1,0,3,258,30
"ADIRF",5,19,3,0,9,2,1,85,1,1,2,4,17,10,8,2,6,8,0,0,830,7,2,5,8,5,13,861,603,323
"RP11-96C23.15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FAM25A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"GLUD1",37,23,3,4,8,2,0,14,1,1,4,4,8,15,18,1,5,1,1,0,42,5,13,3,11,12,29,83,56,1
"FAM35A",11,11,1,1,8,0,0,8,1,0,2,0,7,4,5,0,1,5,2,0,8,5,5,0,6,3,12,27,14,0
"NUTM2A-AS1",13,5,1,2,4,0,0,8,2,0,4,5,10,6,9,3,2,3,0,1,15,5,4,1,12,4,7,30,35,1
"LINC00863",1,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,4,0,1,0,1,3,0,1,5,0
"MINPP1",9,7,0,0,3,0,0,8,0,0,1,1,2,2,3,1,0,0,0,0,5,4,1,0,2,1,5,21,17,1
"PAPSS2",24,21,0,0,0,0,0,18,0,0,1,0,1,0,0,0,0,0,0,0,13,0,1,0,0,1,1,45,12,0
"ATAD1",17,14,0,2,9,1,1,9,3,1,5,3,14,10,18,0,8,4,1,0,15,4,1,1,8,4,14,60,26,5
"KLLN",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTEN",24,28,2,0,11,1,5,22,4,0,4,2,18,8,11,1,3,7,1,2,53,4,7,7,14,9,10,50,59,3
"RNLS",4,5,0,0,0,0,1,2,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,13,0,0
"LIPN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ANKRD22",21,1,0,4,2,0,0,1,0,0,0,1,2,0,2,0,1,1,0,0,1,0,8,0,0,0,2,129,5,0
"STAMBPL1",8,14,0,0,9,1,0,4,0,2,2,1,16,7,11,0,0,5,0,0,4,2,2,0,6,3,25,56,3,0
"ACTA2-AS1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ACTA2",7,468,2,0,8,2,1,44,4,0,5,3,17,6,11,45,4,11,0,0,3263,6,0,2,11,11,27,24,61,314
"FAS",8,17,3,0,9,3,0,11,5,1,4,1,8,19,8,0,1,5,0,1,42,5,1,0,12,12,35,8,9,2
"CH25H",0,31,0,0,0,0,0,20,1,0,0,0,0,1,0,0,0,0,0,0,28,0,0,0,0,1,0,2,22,1
"LIPA",297,9,5,1,8,0,0,6,1,0,4,6,7,5,11,2,5,6,2,1,18,1,12,2,11,8,9,36,69,0
"RP11-149I23.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"IFIT2",10,9,1,0,2,0,1,2,1,0,1,1,12,4,5,1,2,0,1,0,31,1,7,0,5,0,1,3,14,1
"IFIT3",6,24,1,0,0,2,0,1,0,0,1,6,2,1,4,3,0,0,3,0,36,3,0,0,0,1,1,23,22,0
"IFIT1",2,8,0,0,0,0,0,2,0,0,0,0,1,0,1,0,2,0,0,0,2,2,2,0,0,0,1,1,3,0
"IFIT5",16,14,1,1,4,0,0,1,0,0,3,5,6,5,9,0,5,2,0,0,13,2,2,0,8,6,13,25,23,1
"SLC16A12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"PANK1",0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,3,0,0,2,1,0,0,22,3,0
"RP11-80H5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-80H5.9",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIF20B",15,14,1,1,28,3,0,1,3,1,5,6,20,16,32,0,6,7,4,0,10,5,4,17,66,126,41,76,10,1
"LINC00865",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,1,0,0,0,1,5,0,0
"HTR7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RPP30",21,20,1,0,7,1,0,4,0,0,2,6,11,8,11,0,4,4,0,0,22,4,7,11,12,10,8,77,39,1
"ANKRD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"RP11-236B18.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PCGF5",44,9,3,2,17,0,2,7,1,0,3,6,20,8,12,0,6,8,1,2,24,13,7,0,9,6,16,52,23,2
"HECTD2",6,4,0,0,6,0,0,5,0,0,0,0,1,0,2,0,0,0,0,0,6,2,0,0,0,0,0,5,8,0
"PPP1R3C",1,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,1
"TNKS2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TNKS2",37,15,6,3,13,1,0,11,4,2,7,10,17,16,18,0,9,12,2,0,31,2,7,4,13,9,17,54,44,2
"FGFBP3",0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,3,1,0,0,0,1,1,1,3,0
"RP11-402D21.2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BTAF1",12,10,1,0,8,0,0,8,4,0,4,1,13,6,6,1,4,2,0,1,11,13,2,1,4,5,14,22,28,1
"CPEB3",12,5,0,0,2,1,0,1,1,0,1,1,3,0,2,0,1,0,0,0,1,3,0,0,1,2,4,5,12,0
"MARCH5",14,29,1,2,2,0,0,10,3,1,5,4,6,8,12,0,2,5,2,1,24,2,2,1,4,11,17,58,53,3
"IDE",4,4,0,0,0,0,0,3,3,0,2,1,2,3,3,0,0,2,0,0,5,5,2,4,5,1,10,19,20,0
"KIF11",10,3,0,1,1,0,0,0,1,0,0,0,3,1,2,0,0,0,0,0,7,6,3,6,22,21,2,26,5,0
"HHEX",29,0,0,1,0,0,0,0,0,0,0,11,31,0,0,0,8,0,0,0,0,1,6,6,0,0,1,4,113,0
"EXOC6",20,3,1,2,7,2,0,2,2,0,3,11,21,6,7,1,2,2,1,1,5,3,2,1,18,5,8,40,87,1
"MYOF",23,52,0,4,0,0,0,31,0,0,0,0,0,1,0,3,0,0,0,0,47,0,7,0,0,1,3,13,74,5
"CEP55",16,3,0,0,3,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,5,6,2,6,31,25,10,55,9,0
"FFAR4",6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,7,0,0
"RBP4",0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,54,0,0
"FRA10AC1",15,19,3,1,8,1,0,12,4,1,0,4,15,6,10,1,6,7,1,1,18,8,5,1,3,7,18,76,55,1
"LGI1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC35G1",0,1,0,0,1,0,0,1,0,0,2,0,3,0,3,0,0,1,1,0,3,1,1,1,2,3,1,23,16,0
"PLCE1",0,9,0,0,2,0,2,4,0,0,0,0,5,0,2,0,4,0,0,0,69,3,0,1,1,1,2,14,7,6
"RP11-391J2.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"PLCE1-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-76P2.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"NOC3L",11,24,2,0,16,0,0,3,1,0,2,4,22,5,7,1,4,3,0,1,14,8,2,2,6,7,15,37,24,0
"TBC1D12",13,6,0,1,0,0,2,6,0,0,0,2,1,1,0,0,1,0,0,0,7,1,2,0,0,0,1,19,8,0
"HELLS",22,19,1,0,19,1,0,4,2,0,6,1,8,6,14,1,2,2,1,0,16,4,4,16,48,37,15,79,27,0
"CYP2C18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CYP2C9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"ACSM6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"PDLIM1",5,108,0,0,2,0,0,51,3,0,0,1,46,2,4,0,18,2,0,0,370,20,3,8,5,1,8,400,852,22
"SORBS1",2,4,0,0,0,0,2,4,0,0,1,1,0,0,0,4,0,0,0,0,14,1,0,0,0,0,0,14,10,11
"ALDH18A1",9,26,0,0,4,1,0,9,1,0,3,2,3,3,6,0,2,2,0,0,17,4,1,4,4,6,14,86,12,3
"TCTN3",14,25,0,2,13,0,1,19,1,0,7,3,18,17,16,0,3,2,3,0,12,10,2,1,31,17,17,31,32,0
"ENTPD1",62,21,2,10,172,2,0,6,21,1,63,2,44,79,154,1,7,12,8,2,55,35,11,4,122,124,163,14,221,5
"ENTPD1-AS1",4,9,0,0,0,0,0,8,1,0,0,0,8,2,7,0,3,4,0,0,5,1,0,0,5,2,4,14,7,0
"C10orf131",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-690P14.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0
"CCNJ",3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,5,2,0
"ZNF518A",16,20,1,2,15,1,2,12,2,0,6,2,29,13,10,0,8,6,3,2,14,12,6,5,17,15,30,129,34,0
"BLNK",9,0,0,1,2,0,0,2,0,0,0,1,41,0,0,0,10,0,1,0,0,18,4,12,1,0,2,31,0,0
"TLL2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TM9SF3",66,56,3,5,20,1,1,37,2,3,8,7,19,14,24,1,6,11,0,0,62,16,8,1,13,10,23,229,130,2
"PIK3AP1",43,2,0,0,16,0,0,0,0,1,1,1,20,4,17,0,7,0,0,0,2,0,9,5,2,5,1,2,0,0
"LCOR",20,6,2,1,17,0,0,5,5,0,6,6,16,9,15,0,6,3,1,1,17,4,4,3,10,5,15,76,23,1
"C10orf12",6,4,0,1,4,0,0,0,2,0,2,1,1,7,5,0,0,3,1,0,3,2,2,4,4,5,6,10,12,0
"RP11-175O19.4",3,1,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,2,2,1,1,2,2,3,1,0
"SLIT1",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARHGAP19",5,3,0,0,3,0,0,2,0,0,0,0,1,0,3,0,0,1,0,0,1,1,1,2,4,6,2,7,7,0
"FRAT1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"FRAT2",1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,2,1,2,1,0,0,1,15,4,0
